EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.649255,-0.310544,1.52824,-0.649255,-0.310544,1.52824,0.00625152,0.0467475,-0.0351937,6.13053,0.000999999,8.24559e-22,-2.71716e-14,1.62359e-21,0.000999999,-7.96043e-14,-2.71726e-14,-7.95964e-14,0.000999999
-0.648995,-0.303618,1.52624,-0.648747,-0.297022,1.52434,0.00648039,0.0536874,-0.0371797,5.7714,0.000512195,1.95956e-22,-6.46559e-15,3.86089e-22,0.000512195,-1.89422e-14,-6.46582e-15,-1.89403e-14,0.000512195
-0.649078,-0.300866,1.52497,-0.649225,-0.29597,1.52271,0.00639757,0.0564395,-0.0384506,5.74768,0.000359875,8.02628e-23,-2.64934e-15,1.58172e-22,0.000359875,-7.76174e-15,-2.64944e-15,-7.76096e-15,0.000359875
-0.649206,-0.299269,1.52409,-0.64952,-0.295373,1.52193,0.0062719,0.0580363,-0.039333,5.821,0.000290717,4.03714e-23,-1.33284e-15,7.95659e-23,0.000290717,-3.90479e-15,-1.33288e-15,-3.9044e-15,0.000290717
-0.649331,-0.298199,1.52342,-0.649696,-0.29506,1.52145,0.00614741,0.0591059,-0.040004,5.79836,0.000254131,2.24573e-23,-7.41485e-16,4.42621e-23,0.000254131,-2.17232e-15,-7.41511e-16,-2.1721e-15,0.000254131
-0.649452,-0.297417,1.52287,-0.649849,-0.294843,1.52107,0.00598491,0.0598694,-0.04051,5.86572,0.000233206,1.32036e-23,-4.35973e-16,2.60242e-23,0.000233206,-1.27727e-15,-4.35989e-16,-1.27714e-15,0.000233206
-0.649566,-0.296803,1.52242,-0.649969,-0.294636,1.52082,0.00587085,0.0604831,-0.0409631,5.84938,0.000220702,8.01835e-24,-2.64769e-16,1.58044e-23,0.000220702,-7.75691e-16,-2.64779e-16,-7.75613e-16,0.000220702
-0.64993,-0.296474,1.52253,-0.651278,-0.295256,1.52296,0.00550619,0.0608126,-0.0408484,6.11935,0.000213033,4.9658e-24,-1.63976e-16,9.78782e-24,0.000213033,-4.80398e-16,-1.63982e-16,-4.8035e-16,0.000213033
-0.650216,-0.296211,1.52259,-0.651303,-0.295215,1.52279,0.00517475,0.0610567,-0.0407542,6.13017,0.000208255,3.11282e-24,-1.0279e-16,6.13555e-24,0.000208255,-3.01142e-16,-1.02794e-16,-3.01112e-16,0.000208255
-0.650447,-0.29599,1.5226,-0.651342,-0.295135,1.52267,0.00494366,0.0612777,-0.0407362,6.12358,0.000205249,1.96614e-24,-6.49252e-17,3.87538e-24,0.000205249,-1.90211e-16,-6.49275e-17,-1.90191e-16,0.000205249
-0.650634,-0.295803,1.5226,-0.651363,-0.295068,1.52258,0.00471904,0.0614572,-0.0407113,6.12358,0.000203345,1.24782e-24,-4.12054e-17,2.45954e-24,0.000203345,-1.20719e-16,-4.12068e-17,-1.20707e-16,0.000203345
-0.650783,-0.295642,1.52258,-0.651374,-0.295009,1.5225,0.00456939,0.0616176,-0.0407306,6.12358,0.000202135,7.94345e-25,-2.62309e-17,1.56571e-24,0.000202135,-7.68482e-17,-2.62318e-17,-7.68405e-17,0.000202135
-0.650963,-0.296372,1.52237,-0.651675,-0.299263,1.52155,0.00438986,0.0608884,-0.0409377,5.99256,0.000201364,5.06647e-25,-1.67305e-17,9.9864e-25,0.000201364,-4.90153e-17,-1.67311e-17,-4.90103e-17,0.000201364
-0.651098,-0.29696,1.52223,-0.651637,-0.2993,1.52167,0.00426121,0.0602971,-0.0410696,5.99256,0.000200872,3.23547e-25,-1.06842e-17,6.37736e-25,0.000200872,-3.13014e-17,-1.06846e-17,-3.12983e-17,0.000200872
-0.651196,-0.297445,1.52213,-0.651587,-0.299379,1.52173,0.00416315,0.059812,-0.0411698,6.00521,0.000200558,2.06781e-25,-6.82837e-18,4.07582e-25,0.000200558,-2.0005e-17,-6.82861e-18,-2.0003e-17,0.000200558
-0.651275,-0.297842,1.52207,-0.651591,-0.299428,1.52182,0.00408415,0.0594146,-0.0412324,6.00585,0.000200357,1.32222e-25,-4.36626e-18,2.6062e-25,0.000200357,-1.27918e-17,-4.36641e-18,-1.27905e-17,0.000200357
-0.651335,-0.298164,1.52203,-0.651572,-0.299448,1.52189,0.00404307,0.0590921,-0.0412882,6.00582,0.000200228,8.45738e-26,-2.79281e-18,1.66701e-25,0.000200228,-8.18206e-18,-2.79291e-18,-8.18124e-18,0.000200228
-0.651378,-0.298426,1.522,-0.651552,-0.299472,1.52187,0.00399963,0.0588302,-0.0413207,6.00585,0.000200146,5.41074e-26,-1.78675e-18,1.0665e-25,0.000200146,-5.23461e-18,-1.78681e-18,-5.23408e-18,0.000200146
-0.651666,-0.298005,1.52096,-0.652816,-0.296323,1.5168,0.00375122,0.059257,-0.0423804,5.38604,0.000200093,3.46207e-26,-1.14325e-18,6.824e-26,0.000200093,-3.34936e-18,-1.14329e-18,-3.34903e-18,0.000200093
-0.65191,-0.297632,1.52008,-0.652885,-0.296141,1.51655,0.00350732,0.05963,-0.0432622,5.37584,0.00020006,2.21539e-26,-7.31571e-19,4.36671e-26,0.00020006,-2.14327e-18,-7.31597e-19,-2.14306e-18,0.00020006
-0.652114,-0.297314,1.51932,-0.652931,-0.29604,1.51631,0.00330301,0.0599485,-0.0440152,5.3935,0.000200038,1.41771e-26,-4.6816e-19,2.79443e-26,0.000200038,-1.37156e-18,-4.68177e-19,-1.37143e-18,0.000200038
-0.652289,-0.297038,1.51868,-0.652988,-0.295937,1.51611,0.00312644,0.0602179,-0.0446689,5.3935,0.000200025,9.07282e-27,-2.99604e-19,1.78832e-26,0.000200025,-8.77747e-19,-2.99615e-19,-8.77659e-19,0.000200025
-0.652444,-0.296796,1.51814,-0.653067,-0.295826,1.51597,0.00297082,0.0604604,-0.0452114,5.40766,0.000200016,5.80637e-27,-1.91739e-19,1.14448e-26,0.000200016,-5.61736e-19,-1.91746e-19,-5.6168e-19,0.000200016
-0.652583,-0.296585,1.51767,-0.653136,-0.295742,1.51579,0.0028654,0.0606592,-0.0456807,5.40643,0.00020001,3.71599e-27,-1.2271e-19,7.3245e-27,0.00020001,-3.59502e-19,-1.22714e-19,-3.59466e-19,0.00020001
-0.652227,-0.296901,1.51787,-0.650806,-0.298166,1.51867,0.00322085,0.060343,-0.0454796,7.76613,0.000200006,2.37819e-27,-7.85331e-20,4.68761e-27,0.000200006,-2.30078e-19,-7.85359e-20,-2.30054e-19,0.000200006
