EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta,counter
-0.649388,-0.323409,1.53691,-0.649388,-0.323409,1.53691,0.00611811,0.033882,-0.0265223,4.24834,0.000999999,8.24559e-22,-2.71716e-14,1.62359e-21,0.000999999,-7.96043e-14,-2.71726e-14,-7.95964e-14,0.000999999,0
-0.647171,-0.32016,1.53563,-0.645059,-0.317066,1.53442,0.00830417,0.0371448,-0.0277871,2.98986,0.000512195,1.95956e-22,-6.46559e-15,3.86089e-22,0.000512195,-1.89422e-14,-6.46582e-15,-1.89403e-14,0.000512195,0
-0.6465,-0.318692,1.53475,-0.645307,-0.316081,1.53317,0.00897499,0.0386131,-0.0286717,2.96913,0.000359875,8.02628e-23,-2.64934e-15,1.58172e-22,0.000359875,-7.76174e-15,-2.64944e-15,-7.76096e-15,0.000359875,0
-0.646193,-0.317794,1.53413,-0.645442,-0.315602,1.53262,0.00928576,0.0395115,-0.0292913,2.98155,0.000290717,4.03714e-23,-1.33284e-15,7.95659e-23,0.000290717,-3.90479e-15,-1.33288e-15,-3.9044e-15,0.000290717,0
-0.646036,-0.31716,1.53364,-0.645575,-0.315301,1.5322,0.00944271,0.0401451,-0.0297802,2.95985,0.000254131,2.24573e-23,-7.41485e-16,4.42621e-23,0.000254131,-2.17232e-15,-7.41511e-16,-2.1721e-15,0.000254131,0
-0.645955,-0.316682,1.53325,-0.64569,-0.31511,1.53195,0.00948169,0.0406041,-0.0301338,2.9503,0.000233206,1.32036e-23,-4.35973e-16,2.60242e-23,0.000233206,-1.27727e-15,-4.35989e-16,-1.27714e-15,0.000233206,0
-0.645912,-0.316295,1.5329,-0.645758,-0.314928,1.53169,0.00952506,0.0409911,-0.0304763,2.96593,0.000220702,8.01835e-24,-2.64769e-16,1.58044e-23,0.000220702,-7.75691e-16,-2.64779e-16,-7.75613e-16,0.000220702,0
-0.64604,-0.315723,1.53234,-0.646515,-0.313608,1.53024,0.00939647,0.0415635,-0.0310445,3.18626,0.000213033,4.9658e-24,-1.63976e-16,9.78782e-24,0.000213033,-4.80398e-16,-1.63982e-16,-4.8035e-16,0.000213033,0
-0.646153,-0.315236,1.53185,-0.646584,-0.313387,1.52998,0.00923762,0.0420318,-0.0314946,3.15549,0.000208255,3.11282e-24,-1.0279e-16,6.13555e-24,0.000208255,-3.01142e-16,-1.02794e-16,-3.01112e-16,0.000208255,0
-0.64625,-0.314824,1.53143,-0.646622,-0.313226,1.5298,0.00914149,0.0424444,-0.0319143,3.14011,0.000205249,1.96614e-24,-6.49252e-17,3.87538e-24,0.000205249,-1.90211e-16,-6.49275e-17,-1.90191e-16,0.000205249,0
-0.64633,-0.314483,1.53106,-0.646643,-0.313148,1.52961,0.00902294,0.0427772,-0.0322532,3.12472,0.000203345,1.24782e-24,-4.12054e-17,2.45954e-24,0.000203345,-1.20719e-16,-4.12068e-17,-1.20707e-16,0.000203345,0
-0.6464,-0.314198,1.53073,-0.646679,-0.313074,1.52946,0.00895225,0.0430619,-0.0325754,3.12472,0.000202135,7.94345e-25,-2.62309e-17,1.56571e-24,0.000202135,-7.68482e-17,-2.62318e-17,-7.68405e-17,0.000202135,0
-0.646698,-0.314265,1.53051,-0.64788,-0.314532,1.52962,0.00865439,0.0429946,-0.0327992,2.61419,0.000201364,5.06647e-25,-1.67305e-17,9.9864e-25,0.000201364,-4.90153e-17,-1.67311e-17,-4.90103e-17,0.000201364,0
-0.646938,-0.314311,1.53032,-0.647893,-0.314491,1.52957,0.00842128,0.0429462,-0.0329776,2.61419,0.000200872,3.23547e-25,-1.06842e-17,6.37736e-25,0.000200872,-3.13014e-17,-1.06846e-17,-3.12983e-17,0.000200872,0
-0.647129,-0.31434,1.53017,-0.647889,-0.314457,1.52955,0.0082305,0.0429168,-0.0331321,2.64027,0.000200558,2.06781e-25,-6.82837e-18,4.07582e-25,0.000200558,-2.0005e-17,-6.82861e-18,-2.0003e-17,0.000200558,0
-0.647284,-0.314358,1.53004,-0.647904,-0.31443,1.52955,0.00807519,0.0428988,-0.0332558,2.64027,0.000200357,1.32222e-25,-4.36626e-18,2.6062e-25,0.000200357,-1.27918e-17,-4.36641e-18,-1.27905e-17,0.000200357,0
-0.647408,-0.314368,1.52994,-0.6479,-0.314409,1.52951,0.00797023,0.0428877,-0.0333821,2.62464,0.000200228,8.45738e-26,-2.79281e-18,1.66701e-25,0.000200228,-8.18206e-18,-2.79291e-18,-8.18124e-18,0.000200228,0
-0.64751,-0.31438,1.52985,-0.647918,-0.314427,1.52949,0.00786806,0.042876,-0.033472,2.60902,0.000200146,5.41074e-26,-1.78675e-18,1.0665e-25,0.000200146,-5.23461e-18,-1.78681e-18,-5.23408e-18,0.000200146,0
-0.647839,-0.313974,1.52923,-0.649157,-0.312351,1.52674,0.00757774,0.0432881,-0.0341135,2.54322,0.000200093,3.46207e-26,-1.14325e-18,6.824e-26,0.000200093,-3.34936e-18,-1.14329e-18,-3.34903e-18,0.000200093,0
-0.648116,-0.313607,1.52866,-0.649222,-0.312137,1.52641,0.00730118,0.0436555,-0.0346765,2.55857,0.00020006,2.21539e-26,-7.31571e-19,4.36671e-26,0.00020006,-2.14327e-18,-7.31597e-19,-2.14306e-18,0.00020006,0
-0.648353,-0.313269,1.52817,-0.6493,-0.311917,1.52621,0.00706425,0.0439934,-0.035167,2.55857,0.000200038,1.41771e-26,-4.6816e-19,2.79443e-26,0.000200038,-1.37156e-18,-4.68177e-19,-1.37143e-18,0.000200038,0
-0.648552,-0.31295,1.52774,-0.649348,-0.311674,1.526,0.00686327,0.0443064,-0.0356118,2.55625,0.000200025,9.07282e-27,-2.99604e-19,1.78832e-26,0.000200025,-8.77747e-19,-2.99615e-19,-8.77659e-19,0.000200025,0
-0.648722,-0.312651,1.52734,-0.649403,-0.311458,1.52575,0.00669301,0.0446047,-0.036009,2.58702,0.000200016,5.80637e-27,-1.91739e-19,1.14448e-26,0.000200016,-5.61736e-19,-1.91746e-19,-5.6168e-19,0.000200016,0
-0.648873,-0.312372,1.52698,-0.649477,-0.311252,1.52554,0.00657495,0.0448725,-0.0363686,2.55625,0.00020001,3.71599e-27,-1.2271e-19,7.3245e-27,0.00020001,-3.59502e-19,-1.22714e-19,-3.59466e-19,0.00020001,0
-0.648249,-0.312595,1.52519,-0.64575,-0.313487,1.51803,0.00719969,0.0446494,-0.0381596,4.3062,0.000200006,2.37819e-27,-7.85331e-20,4.68761e-27,0.000200006,-2.30078e-19,-7.85359e-20,-2.30054e-19,0.000200006,0
-0.647753,-0.312745,1.52373,-0.64577,-0.313346,1.51788,0.00769537,0.0444991,-0.0396215,4.3062,0.000200004,1.52203e-27,-5.02607e-20,3.00004e-27,0.000200004,-1.47248e-19,-5.02625e-20,-1.47233e-19,0.000200004,0
-0.647363,-0.312836,1.52254,-0.645805,-0.313199,1.51779,0.00809694,0.0444003,-0.0408085,4.3062,0.000200003,9.74091e-28,-3.21666e-20,1.92001e-27,0.000200003,-9.42382e-20,-3.21678e-20,-9.42287e-20,0.000200003,0
-0.646998,-0.31287,1.52154,-0.645537,-0.313009,1.51752,0.00846224,0.0443657,-0.0418124,4.35903,0.000200002,6.23416e-28,-2.05866e-20,1.2288e-27,0.000200002,-6.03122e-20,-2.05873e-20,-6.03061e-20,0.000200002,0
-0.646709,-0.312882,1.52072,-0.645554,-0.312931,1.51743,0.00877019,0.0443507,-0.0426432,4.35903,0.000200001,3.98985e-28,-1.31754e-20,7.86431e-28,0.000200001,-3.85997e-20,-1.31758e-20,-3.85958e-20,0.000200001,0
-0.647264,-0.311661,1.51852,-0.649485,-0.306774,1.50973,0.00821506,0.0455724,-0.0448398,4.38875,0.000200001,2.5535e-28,-8.43222e-21,5.03315e-28,0.000200001,-2.47038e-20,-8.43252e-21,-2.47013e-20,0.000200001,0
-0.647736,-0.310525,1.51658,-0.649625,-0.305982,1.5088,0.00776289,0.0466901,-0.0467842,4.34105,0.0002,1.63424e-28,-5.39661e-21,3.22121e-28,0.0002,-1.58104e-20,-5.39681e-21,-1.58088e-20,0.0002,0
-0.648149,-0.309463,1.51484,-0.649799,-0.305217,1.50791,0.00735032,0.0477517,-0.0485176,4.35269,0.0002,1.04591e-28,-3.45383e-21,2.06157e-28,0.0002,-1.01186e-20,-3.45395e-21,-1.01176e-20,0.0002,0
-0.648515,-0.308474,1.5133,-0.649977,-0.304515,1.50712,0.00698464,0.0487414,-0.0500619,4.32053,0.0002,6.69383e-29,-2.21045e-21,1.31941e-28,0.0002,-6.47593e-21,-2.21053e-21,-6.47528e-21,0.0002,0
-0.648848,-0.307555,1.5119,-0.650179,-0.30388,1.50629,0.00668401,0.0496501,-0.051473,4.27088,0.0002,4.28405e-29,-1.41469e-21,8.4442e-29,0.0002,-4.14459e-21,-1.41474e-21,-4.14418e-21,0.0002,0
-0.649146,-0.30669,1.51064,-0.650339,-0.30323,1.50561,0.00638579,0.050515,-0.0527311,4.21925,0.0002,2.74179e-29,-9.054e-22,5.40429e-29,0.0002,-2.65254e-21,-9.05432e-22,-2.65227e-21,0.0002,0
-0.648759,-0.30716,1.51373,-0.647212,-0.309041,1.52611,0.00680375,0.0500378,-0.0496462,3.57162,0.0002,1.75475e-29,-5.79456e-22,3.45874e-29,0.0002,-1.69762e-21,-5.79477e-22,-1.69745e-21,0.0002,0
-0.648414,-0.30771,1.51638,-0.647034,-0.309907,1.52696,0.00714882,0.0494885,-0.0470012,3.54277,0.0002,1.12304e-29,-3.70852e-22,2.2136e-29,0.0002,-1.08648e-21,-3.70865e-22,-1.08637e-21,0.0002,0
-0.648097,-0.308314,1.51867,-0.646828,-0.310732,1.52781,0.00746607,0.048884,-0.0447141,3.54749,0.0002,7.18744e-30,-2.37345e-22,1.4167e-29,0.0002,-6.95347e-22,-2.37354e-22,-6.95277e-22,0.0002,0
-0.647814,-0.308957,1.52067,-0.646683,-0.311526,1.52867,0.0077648,0.0482346,-0.0427142,3.53646,0.0002,4.59996e-30,-1.51901e-22,9.06689e-30,0.0002,-4.45022e-22,-1.51906e-22,-4.44977e-22,0.0002,0
-0.64756,-0.309622,1.52242,-0.646545,-0.312281,1.52943,0.00801863,0.0475697,-0.0409609,3.38639,0.0002,2.94398e-30,-9.72166e-23,5.80281e-30,0.0002,-2.84814e-22,-9.722e-23,-2.84786e-22,0.0002,0
-0.647868,-0.310288,1.52321,-0.649098,-0.312956,1.52635,0.00771113,0.0469027,-0.0401747,2.91948,0.0002,1.88414e-30,-6.22186e-23,3.7138e-30,0.0002,-1.82281e-22,-6.22208e-23,-1.82263e-22,0.0002,0
-0.648112,-0.310897,1.52391,-0.64909,-0.313331,1.52672,0.00747723,0.046267,-0.0394419,2.84876,0.0002,1.20585e-30,-3.98199e-23,2.37683e-30,0.0002,-1.1666e-22,-3.98213e-23,-1.16648e-22,0.0002,0
-0.648294,-0.311445,1.52454,-0.649024,-0.313635,1.52708,0.00729487,0.0457195,-0.0388078,2.84876,0.0002,7.71746e-31,-2.54847e-23,1.52117e-30,0.0002,-7.46623e-23,-2.54856e-23,-7.46548e-23,0.0002,0
-0.648429,-0.311938,1.52512,-0.64897,-0.313911,1.52742,0.00715212,0.0452472,-0.0382523,2.84876,0.0002,4.93917e-31,-1.63102e-23,9.7355e-31,0.0002,-4.77839e-23,-1.63108e-23,-4.77791e-23,0.0002,0
-0.648524,-0.312387,1.52564,-0.648905,-0.314185,1.52775,0.00705703,0.0447978,-0.0377262,2.84876,0.0002,3.16107e-31,-1.04385e-23,6.23072e-31,0.0002,-3.05817e-23,-1.04389e-23,-3.05786e-23,0.0002,0
-0.648596,-0.312795,1.52613,-0.64888,-0.314425,1.52806,0.00698596,0.0443903,-0.0372433,2.86497,0.0002,2.02309e-31,-6.68067e-24,3.98766e-31,0.0002,-1.95723e-23,-6.68091e-24,-1.95703e-23,0.0002,0
