EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.670664,-0.317396,1.61594,-0.670664,-0.317396,1.61594,0.0037676,0.00403823,0.0223211,0.908395,0.000999999,-2.29378e-23,-5.3154e-14,-1.82599e-23,0.000999999,-1.19969e-15,-5.31571e-14,-1.19959e-15,0.000999999
-0.670411,-0.318054,1.61707,-0.670171,-0.318681,1.61814,0.00402012,0.00338031,0.0234483,0.960135,0.000512195,-5.46553e-24,-1.26482e-14,-4.35241e-24,0.000512195,-2.85471e-16,-1.26489e-14,-2.85447e-16,0.000512195
-0.670301,-0.318351,1.61755,-0.670106,-0.31888,1.6184,0.00435615,0.00346022,0.0197662,0.957566,0.000359875,-2.2405e-24,-5.18272e-15,-1.78439e-24,0.000359875,-1.16975e-16,-5.18303e-15,-1.16965e-16,0.000359875
-0.668563,-0.319278,1.61565,-0.664321,-0.321538,1.61102,0.0060947,0.00253385,0.017868,0.557031,0.000290717,-1.12737e-24,-2.60733e-15,-8.97912e-25,0.000290717,-5.88479e-17,-2.60749e-15,-5.88429e-17,0.000290717
-0.667504,-0.319883,1.61447,-0.664395,-0.321659,1.61102,0.00715467,0.00197397,0.0163118,0.588971,0.000254131,-6.27245e-25,-1.45052e-15,-4.99591e-25,0.000254131,-3.27383e-17,-1.4506e-15,-3.27356e-17,0.000254131
-0.666781,-0.320307,1.61369,-0.664403,-0.321701,1.61113,0.0078777,0.00154995,0.0155333,0.588971,0.000233206,-3.68825e-25,-8.52865e-16,-2.93768e-25,0.000233206,-1.92493e-17,-8.52915e-16,-1.92476e-17,0.000233206
-0.666246,-0.320615,1.61313,-0.664356,-0.321703,1.61116,0.00841274,0.00124185,0.0149751,0.588971,0.000220702,-2.23997e-25,-5.1795e-16,-1.78415e-25,0.000220702,-1.16902e-17,-5.1798e-16,-1.16892e-17,0.000220702
-0.665826,-0.320853,1.61272,-0.664275,-0.321734,1.61119,0.00885643,0.000987395,0.0145608,0.588971,0.000213033,-1.38728e-25,-3.20775e-16,-1.10498e-25,0.000213033,-7.23994e-18,-3.20794e-16,-7.23932e-18,0.000213033
-0.665491,-0.321039,1.61241,-0.664218,-0.321745,1.61123,0.00919128,0.000801764,0.0142513,0.588971,0.000208255,-8.69643e-26,-2.01081e-16,-6.9268e-26,0.000208255,-4.53843e-18,-2.01093e-16,-4.53804e-18,0.000208255
-0.665892,-0.320713,1.61369,-0.667444,-0.319449,1.61862,0.00857898,0.000827395,0.0189757,0.680036,0.000205249,-5.49297e-26,-1.27009e-16,-4.37522e-26,0.000205249,-2.8666e-18,-1.27016e-16,-2.86636e-18,0.000205249
-0.666219,-0.320453,1.61469,-0.6675,-0.319438,1.61864,0.00825191,0.00108664,0.0199834,0.680036,0.000203345,-3.48618e-26,-8.06072e-17,-2.77679e-26,0.000203345,-1.81932e-18,-8.0612e-17,-1.81916e-18,0.000203345
-0.666483,-0.320261,1.61546,-0.667528,-0.319501,1.61849,0.00798734,0.00127916,0.0207508,0.653863,0.000202135,-2.21927e-26,-5.13136e-17,-1.76768e-26,0.000202135,-1.15816e-18,-5.13166e-17,-1.15806e-18,0.000202135
-0.666703,-0.320107,1.61606,-0.667576,-0.319498,1.61846,0.00794815,0.00157069,0.0192945,0.653863,0.000201364,-1.4155e-26,-3.27288e-17,-1.12746e-26,0.000201364,-7.38694e-19,-3.27307e-17,-7.38631e-19,0.000201364
-0.666881,-0.319986,1.61655,-0.667589,-0.319501,1.61849,0.00777034,0.00169242,0.0197817,0.653863,0.000200872,-9.03945e-27,-2.09008e-17,-7.20005e-27,0.000200872,-4.71734e-19,-2.0902e-17,-4.71694e-19,0.000200872
-0.667263,-0.319942,1.61672,-0.668785,-0.319766,1.61741,0.00745079,0.0018446,0.0187331,0.661629,0.000200558,-5.77719e-27,-1.33579e-17,-4.60162e-27,0.000200558,-3.01489e-19,-1.33586e-17,-3.01463e-19,0.000200558
-0.667563,-0.319919,1.61683,-0.668762,-0.319831,1.61726,0.0071504,0.00186677,0.0188406,0.641629,0.000200357,-3.6941e-27,-8.54141e-18,-2.94241e-27,0.000200357,-1.92781e-19,-8.54191e-18,-1.92764e-19,0.000200357
-0.667804,-0.319899,1.61691,-0.668767,-0.31982,1.61723,0.00690943,0.00188672,0.0189197,0.648296,0.000200228,-2.36288e-27,-5.46338e-18,-1.88207e-27,0.000200228,-1.23309e-19,-5.4637e-18,-1.23299e-19,0.000200228
-0.668002,-0.31987,1.617,-0.668791,-0.319751,1.61734,0.00653706,0.00161219,0.0223468,0.654962,0.000200146,-1.51169e-27,-3.49529e-18,-1.20408e-27,0.000200146,-7.88891e-20,-3.49549e-18,-7.88824e-20,0.000200146
-0.668161,-0.319846,1.61706,-0.668795,-0.319754,1.61731,0.00637833,0.00163536,0.0224102,0.648296,0.000200093,-9.67256e-28,-2.23646e-18,-7.70434e-28,0.000200093,-5.04772e-20,-2.23659e-18,-5.0473e-20,0.000200093
-0.668285,-0.319826,1.6171,-0.668785,-0.319746,1.61728,0.00625972,0.00160231,0.022775,0.641629,0.00020006,-6.18951e-28,-1.43112e-18,-4.93004e-28,0.00020006,-3.23006e-20,-1.43121e-18,-3.22979e-20,0.00020006
-0.667722,-0.319558,1.61659,-0.66547,-0.318487,1.61454,0.00682284,0.00187029,0.0222624,0.572709,0.000200038,-3.96091e-28,-9.1583e-19,-3.15492e-28,0.000200038,-2.06704e-20,-9.15884e-19,-2.06687e-20,0.000200038
-0.667254,-0.319337,1.61617,-0.665381,-0.318449,1.61449,0.00729121,0.00209224,0.0218422,0.565952,0.000200025,-2.53483e-28,-5.86095e-19,-2.01903e-28,0.000200025,-1.32283e-20,-5.8613e-19,-1.32271e-20,0.000200025
-0.666867,-0.319151,1.61582,-0.665321,-0.318407,1.6144,0.00789843,0.00255053,0.0180969,0.562432,0.000200016,-1.62223e-28,-3.75086e-19,-1.29213e-28,0.000200016,-8.46575e-21,-3.75108e-19,-8.46503e-21,0.000200016
-0.666549,-0.318994,1.61552,-0.665277,-0.318368,1.61433,0.00821652,0.00270706,0.0178,0.569189,0.00020001,-1.0382e-28,-2.40049e-19,-8.26941e-29,0.00020001,-5.41794e-21,-2.40063e-19,-5.41748e-21,0.00020001
-0.666287,-0.318859,1.61527,-0.665239,-0.31832,1.61428,0.0085019,0.00286868,0.017321,0.555675,0.000200006,-6.64436e-29,-1.53629e-19,-5.29234e-29,0.000200006,-3.46743e-21,-1.53638e-19,-3.46713e-21,0.000200006
-0.66683,-0.319231,1.61642,-0.669003,-0.320718,1.621,0.00795875,0.00249687,0.0184665,1.13202,0.000200004,-4.25235e-29,-9.83215e-20,-3.38706e-29,0.000200004,-2.21913e-21,-9.83273e-20,-2.21894e-21,0.000200004
-0.667259,-0.319554,1.61736,-0.668975,-0.320845,1.62116,0.00722601,0.00182949,0.023755,1.12544,0.000200003,-2.72148e-29,-6.29254e-20,-2.1677e-29,0.000200003,-1.42023e-21,-6.29291e-20,-1.42011e-21,0.000200003
-0.667595,-0.319827,1.61815,-0.668935,-0.320921,1.62129,0.00689085,0.00155615,0.0245411,1.13512,0.000200002,-1.74174e-29,-4.02721e-20,-1.38733e-29,0.000200002,-9.08946e-22,-4.02744e-20,-9.08869e-22,0.000200002
-0.667861,-0.320054,1.6188,-0.668928,-0.320962,1.62138,0.00662414,0.00132913,0.0251868,1.12196,0.000200001,-1.11471e-29,-2.57741e-20,-8.87886e-30,0.000200001,-5.81724e-22,-2.57756e-20,-5.81675e-22,0.000200001
-0.668064,-0.320243,1.61932,-0.668877,-0.320998,1.62143,0.0064376,0.00124053,0.0250631,1.12964,0.000200001,-7.13415e-30,-1.64954e-20,-5.68246e-30,0.000200001,-3.72303e-22,-1.64963e-20,-3.72271e-22,0.000200001
-0.668224,-0.320403,1.61974,-0.66886,-0.321042,1.62143,0.00627846,0.00108079,0.0254837,1.13622,0.0002,-4.56585e-30,-1.0557e-20,-3.63677e-30,0.0002,-2.38273e-22,-1.05576e-20,-2.38253e-22,0.0002
-0.667767,-0.319919,1.62472,-0.665938,-0.317983,1.64464,0.00669792,0.00161612,0.0303733,0.463244,0.0002,-2.92214e-30,-6.75649e-21,-2.32753e-30,0.0002,-1.52495e-22,-6.75689e-21,-1.52482e-22,0.0002
-0.66738,-0.319647,1.62855,-0.665733,-0.31845,1.6454,0.00708465,0.00188741,0.0341991,0.467732,0.0002,-7.55786e-14,3.58064e-09,-7.55786e-14,0.0002,-3.21639e-09,3.58064e-09,-3.21639e-09,0.0002
-0.667064,-0.319562,1.63141,-0.665614,-0.318781,1.64598,0.00740045,0.00197314,0.0370642,0.448259,0.0002,-8.74164e-13,1.62707e-08,-8.74164e-13,0.0002,-8.079e-09,1.62707e-08,-8.079e-09,0.0002
-0.666789,-0.319555,1.63359,-0.665506,-0.319088,1.64645,0.00802866,0.00227832,0.0356543,0.455016,0.0002,-1.92554e-12,2.4408e-08,-1.92554e-12,0.0002,-1.11546e-08,2.4408e-08,-1.11546e-08,0.0002
-0.666535,-0.319541,1.63573,-0.665417,-0.319372,1.64688,0.00828348,0.0022922,0.0377942,0.46853,0.0002,-1.66397e-12,1.92293e-08,-1.66397e-12,0.0002,-1.03244e-08,1.92293e-08,-1.03244e-08,0.0002
-0.667294,-0.319162,1.63303,-0.670331,-0.317647,1.62326,0.00739256,0.00270359,0.0349225,1.00273,0.0002,-9.63291e-13,1.23068e-08,-9.63291e-13,0.0002,-6.60761e-09,1.23068e-08,-6.60761e-09,0.0002
-0.667918,-0.318822,1.63101,-0.670413,-0.317463,1.62293,0.00676872,0.0030435,0.0329027,1.01758,0.0002,-5.74871e-13,7.87633e-09,-5.74871e-13,0.0002,-4.22887e-09,7.87633e-09,-4.22887e-09,0.0002
-0.668438,-0.318526,1.62933,-0.670518,-0.317342,1.62259,0.0062487,0.00333957,0.0312179,0.971218,0.0002,-3.50864e-13,5.04085e-09,-3.50864e-13,0.0002,-2.70648e-09,5.04085e-09,-2.70648e-09,0.0002
-0.668858,-0.318264,1.62794,-0.67054,-0.317216,1.62239,0.00558129,0.00332708,0.0332401,0.971218,0.0002,-2.17568e-13,3.22614e-09,-2.17568e-13,0.0002,-1.73214e-09,3.22614e-09,-1.73214e-09,0.0002
-0.669205,-0.318026,1.6268,-0.670593,-0.317076,1.62225,0.0052343,0.00356458,0.0321012,0.970945,0.0002,-1.36382e-13,2.06473e-09,-1.36382e-13,0.0002,-1.10857e-09,2.06473e-09,-1.10857e-09,0.0002
-0.669493,-0.31782,1.62586,-0.670646,-0.316996,1.62209,0.00511792,0.00405419,0.0280283,0.964322,0.0002,-8.61127e-14,1.32143e-09,-8.61127e-14,0.0002,-7.09486e-10,1.32143e-09,-7.09486e-10,0.0002
-0.669407,-0.318061,1.62548,-0.66906,-0.319023,1.62398,0.00520463,0.00381368,0.0276532,0.761899,0.0002,-5.46321e-14,8.45714e-10,-5.46321e-14,0.0002,-4.54071e-10,8.45714e-10,-4.54071e-10,0.0002
-0.669336,-0.318259,1.62518,-0.669051,-0.319054,1.62397,0.00527572,0.00361514,0.0273502,0.76861,0.0002,-3.47679e-14,5.41257e-10,-3.47679e-14,0.0002,-2.90606e-10,5.41257e-10,-2.90606e-10,0.0002
-0.669257,-0.318401,1.62505,-0.669043,-0.319081,1.624,0.0053676,0.00348898,0.0269973,0.76861,0.0002,-8.60556e-14,-3.23737e-09,-8.60556e-14,0.0002,3.02691e-09,-3.23737e-09,3.02691e-09,0.0002
-0.669183,-0.318327,1.62526,-0.669041,-0.319101,1.62402,0.00544186,0.00356376,0.0272061,0.76861,0.0002,-1.66621e-12,-3.64274e-08,-1.66621e-12,0.0002,6.87075e-09,-3.64274e-08,6.87075e-09,0.0002
-0.669235,-0.317833,1.62582,-0.669062,-0.319031,1.62394,0.00538916,0.0040577,0.0277701,0.76861,0.0002,6.34175e-12,-1.24881e-07,6.34175e-12,0.0002,-8.06221e-09,-1.24881e-07,-8.06221e-09,0.0002
-0.669337,-0.317374,1.62523,-0.669129,-0.320937,1.62339,0.00525101,0.00455083,0.0270908,0.935603,0.0002,4.2089e-11,-2.52675e-07,4.2089e-11,0.0002,-2.4878e-08,-2.52675e-07,-2.4878e-08,0.0002
-0.669402,-0.316477,1.62418,-0.669236,-0.320749,1.62306,0.00518621,0.00544764,0.0260354,0.928891,0.000200001,8.66226e-11,-4.132e-07,8.66226e-11,0.0002,-2.94291e-08,-4.132e-07,-2.94291e-08,0.0002
-0.669535,-0.315329,1.62327,-0.669335,-0.320499,1.62273,0.00483598,0.00632164,0.0285564,0.908757,0.000200002,1.75857e-10,-5.76767e-07,1.75857e-10,0.0002,-4.20947e-08,-5.76767e-07,-4.20947e-08,0.000199999
-0.669729,-0.313931,1.62267,-0.669456,-0.320211,1.62237,0.00464214,0.00772006,0.0279637,0.909697,0.000200004,3.31431e-10,-7.49085e-07,3.31431e-10,0.0002,-6.03297e-08,-7.49085e-07,-6.03297e-08,0.000199999
-0.669809,-0.312569,1.622,-0.66957,-0.319978,1.6219,0.00456168,0.00908219,0.0272924,0.916312,0.000200006,3.96642e-10,-8.9085e-07,3.96642e-10,0.0002,-5.62995e-08,-8.9085e-07,-5.62995e-08,0.000199998
-0.669901,-0.311304,1.62136,-0.669684,-0.319739,1.6214,0.004842,0.00748906,0.0246152,0.894427,0.000200008,4.51567e-10,-1.00198e-06,4.51567e-10,0.0002,-5.44758e-08,-1.00198e-06,-5.44758e-08,0.000199998
-0.669806,-0.308703,1.62079,-0.668964,-0.311483,1.62161,0.00493757,0.0100895,0.0240424,0.6584,0.000200009,4.56679e-10,-1.06309e-06,4.56679e-10,0.0002,-4.90702e-08,-1.06309e-06,-4.90702e-08,0.000199997
-0.669789,-0.306525,1.61985,-0.669159,-0.311092,1.62073,0.0047568,0.00642564,0.025998,0.66275,0.00020001,4.79153e-10,-1.10544e-06,4.79153e-10,0.0002,-4.87706e-08,-1.10544e-06,-4.87706e-08,0.000199997
-0.669891,-0.304641,1.61844,-0.669409,-0.310691,1.62006,0.00465456,0.00830963,0.0245915,0.639199,0.000200011,5.73297e-10,-1.14229e-06,5.73297e-10,0.0002,-5.85829e-08,-1.14229e-06,-5.85829e-08,0.000199996
-0.670012,-0.302967,1.61633,-0.669604,-0.310073,1.61929,0.00453348,0.00998298,0.0224848,0.624273,0.000200012,6.46142e-10,-1.17273e-06,6.46142e-10,0.0002,-6.41058e-08,-1.17273e-06,-6.41058e-08,0.000199996
-0.670117,-0.301519,1.61387,-0.669871,-0.309538,1.6185,0.00506495,0.00255684,0.0164695,0.6404,0.000200013,6.39149e-10,-1.19258e-06,6.39149e-10,0.0002,-5.95662e-08,-1.19258e-06,-5.95662e-08,0.000199996
-0.670194,-0.300188,1.61173,-0.670056,-0.309107,1.61765,0.00498779,0.00388856,0.0143277,0.623252,0.000200013,5.76242e-10,-1.21919e-06,5.76242e-10,0.0002,-4.93067e-08,-1.21919e-06,-4.93067e-08,0.000199995
-0.668894,-0.29647,1.60635,-0.663813,-0.295656,1.59936,0.00612861,-0.0018049,0.0120875,0.244943,0.000200014,4.0168e-10,-1.22995e-06,4.0168e-10,0.0002,-2.79065e-08,-1.22995e-06,-2.79065e-08,0.000199995
