EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
0.607692,0.288975,-1.6567,0.607692,0.288975,-1.6567,0.00769244,-0.0654248,-0.0877004,14.471,0.000999999,0,0,0,0.000999999,0,0,0,0.000999999
0.60896,0.285951,-1.66143,0.610167,0.283071,-1.66594,0.00895998,-0.0684488,-0.0924334,14.5318,0.000512195,0,0,0,0.000512195,0,0,0,0.000512195
0.609565,0.284893,-1.66319,0.610615,0.282988,-1.66646,0.00956469,-0.0695073,-0.0941909,14.5526,0.000359875,-2.45245e-14,-2.52645e-09,-2.45245e-14,0.000359875,3.03111e-09,-2.52645e-09,3.03111e-09,0.000359875
0.609976,0.284096,-1.66442,0.610979,0.282154,-1.66743,0.00997574,-0.0704036,-0.0954234,14.6007,0.000290717,-9.60529e-15,-1.27101e-09,-9.60529e-15,0.000290717,1.5249e-09,-1.27101e-09,1.5249e-09,0.000290717
0.610229,0.283936,-1.6646,0.610971,0.283464,-1.66511,0.0102288,-0.0704643,-0.0955977,14.8274,0.000254131,-4.5394e-15,-7.0709e-10,-4.5394e-15,0.000254131,8.48331e-10,-7.0709e-10,8.48331e-10,0.000254131
0.610432,0.283568,-1.66522,0.611102,0.282359,-1.66728,0.0104324,-0.070832,-0.0962238,14.6389,0.000233206,-2.3986e-15,-4.1575e-10,-2.3986e-15,0.000233206,4.98796e-10,-4.1575e-10,4.98796e-10,0.000233206
0.610545,0.283312,-1.66568,0.610942,0.28241,-1.66731,0.0105449,-0.0710875,-0.0966833,14.4411,0.000220702,-1.35854e-15,-2.52487e-10,-1.35854e-15,0.000220702,3.02922e-10,-2.52487e-10,3.02922e-10,0.000220702
0.610619,0.283125,-1.66565,0.610894,0.282431,-1.66554,0.0105193,-0.0712753,-0.0966518,14.577,0.000213033,-8.04091e-16,-1.5637e-10,-8.04091e-16,0.000213033,1.87605e-10,-1.5637e-10,1.87605e-10,0.000213033
0.610691,0.282993,-1.66567,0.610962,0.282491,-1.66573,0.0106906,-0.0714074,-0.0966685,14.473,0.000208255,-4.89493e-16,-9.80219e-11,-4.89493e-16,0.000208255,1.17602e-10,-9.80219e-11,1.17602e-10,0.000208255
0.610763,0.282874,-1.66567,0.611044,0.282417,-1.66567,0.0107631,-0.0715255,-0.096669,14.4681,0.000205249,-3.03391e-16,-6.19135e-11,-3.03391e-16,0.000205249,7.42808e-11,-6.19135e-11,7.42808e-11,0.000205249
0.610786,0.283081,-1.66516,0.610878,0.28389,-1.66315,0.0106864,-0.0713191,-0.0961565,14.4966,0.000203345,-1.90225e-16,-3.9294e-11,-1.90225e-16,0.000203345,4.7143e-11,-3.9294e-11,4.7143e-11,0.000203345
0.610813,0.282984,-1.66522,0.610917,0.282604,-1.66547,0.0108128,-0.0714155,-0.09622,14.6402,0.000202135,-1.20154e-16,-2.50141e-11,-1.20154e-16,0.000202135,3.00107e-11,-2.50141e-11,3.00107e-11,0.000202135
0.61082,0.282872,-1.66526,0.610851,0.282424,-1.6654,0.0108205,-0.0715285,-0.0962561,14.4254,0.000201364,-7.62541e-17,-1.59545e-11,-7.62541e-17,0.000201364,1.91414e-11,-1.59545e-11,1.91414e-11,0.000201364
0.610824,0.282714,-1.6654,0.610836,0.282087,-1.66595,0.0108237,-0.0716861,-0.096396,14.5748,0.000200872,-4.85404e-17,-1.01886e-11,-4.85404e-17,0.000200872,1.22238e-11,-1.01886e-11,1.22238e-11,0.000200872
0.610855,0.28265,-1.66548,0.610981,0.282394,-1.66581,0.0108553,-0.0717502,-0.0964799,14.5591,0.000200558,-3.0959e-17,-6.51162e-12,-3.0959e-17,0.000200558,7.81232e-12,-6.51162e-12,7.81232e-12,0.000200558
0.610902,0.28254,-1.66556,0.611086,0.282102,-1.66589,0.0108016,-0.0718599,-0.0965615,14.7416,0.000200357,-1.977e-17,-4.16372e-12,-1.977e-17,0.000200357,4.99543e-12,-4.16372e-12,4.99543e-12,0.000200357
0.610941,0.282501,-1.66561,0.611098,0.282345,-1.66581,0.010841,-0.071899,-0.0966121,14.6303,0.000200228,-1.2635e-17,-2.66326e-12,-1.2635e-17,0.000200228,3.19525e-12,-2.66326e-12,3.19525e-12,0.000200228
0.610966,0.28245,-1.66566,0.611064,0.282246,-1.66583,0.0108656,-0.07195,-0.0966561,14.6036,0.000200146,-8.07907e-18,-1.70386e-12,-8.07907e-18,0.000200146,2.04421e-12,-1.70386e-12,2.04421e-12,0.000200146
0.610997,0.28244,-1.66564,0.61112,0.282401,-1.66559,0.0108966,-0.0719597,-0.0966431,14.5515,0.000200093,-5.16762e-18,-1.09022e-12,-5.16762e-18,0.000200093,1.30799e-12,-1.09022e-12,1.30799e-12,0.000200093
0.610964,0.282511,-1.66559,0.610835,0.282792,-1.66537,0.0108642,-0.0718893,-0.0965883,14.568,0.00020006,-3.30605e-18,-6.97635e-13,-3.30605e-18,0.00020006,8.36989e-13,-6.97635e-13,8.36989e-13,0.00020006
0.611001,0.282417,-1.66569,0.61115,0.282044,-1.66609,0.0109015,-0.0719826,-0.0966882,14.7046,0.000200038,-2.11537e-18,-4.46444e-13,-2.11537e-18,0.000200038,5.35621e-13,-4.46444e-13,5.35621e-13,0.000200038
0.611006,0.28237,-1.66586,0.611024,0.282182,-1.66593,0.0109059,-0.0720298,-0.0968636,14.7955,0.000200025,-1.35363e-18,-2.85707e-13,-1.35363e-18,0.000200025,3.42777e-13,-2.85707e-13,3.42777e-13,0.000200025
0.611031,0.282377,-1.66576,0.611073,0.282357,-1.66567,0.0109309,-0.0720228,-0.0967611,14.6049,0.000200016,-1.86681e-14,-1.53294e-09,-1.86681e-14,0.000200016,1.8558e-09,-1.53294e-09,1.8558e-09,0.000200016
0.611027,0.282342,-1.66572,0.611059,0.282145,-1.66587,0.0109269,-0.0721576,-0.0967188,14.5844,0.00020001,3.5807e-15,-2.83642e-09,3.5807e-15,0.00020001,-3.45219e-10,-2.83642e-09,-3.45219e-10,0.00020001
