EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
0.355429,-0.241908,2.42166,0.355429,-0.241908,2.42166,-0.0147707,-0.000208142,-0.0143388,11.6642,0.000999999,0,0,0,0.000999999,0,0,0,0.000999999
0.355321,-0.242061,2.42003,0.355198,-0.24219,2.41847,-0.0148794,-0.000361085,-0.0159732,11.9448,0.000512195,4.27138e-14,4.17157e-09,4.27138e-14,0.000512195,4.75692e-09,4.17157e-09,4.75692e-09,0.000512195
0.355272,-0.242094,2.41941,0.355189,-0.242185,2.41845,-0.0149276,-0.000393678,-0.0165916,11.8139,0.000359875,-1.04901e-14,-2.22859e-09,-1.04901e-14,0.000359875,1.6978e-09,-2.22859e-09,1.6978e-09,0.000359875
0.355248,-0.242178,2.4192,0.355186,-0.242338,2.41851,-0.0149518,-0.000478032,-0.0167954,11.8648,0.000290717,1.00242e-14,2.27592e-09,1.00242e-14,0.000290717,1.06943e-09,2.27592e-09,1.06943e-09,0.000290717
0.355229,-0.242148,2.41909,0.355181,-0.24217,2.41876,-0.0149707,-0.000447886,-0.0169089,11.8147,0.000254131,-4.01204e-15,-4.80332e-09,-4.01204e-15,0.000254131,2.12004e-10,-4.80332e-09,2.12004e-10,0.000254131
0.355226,-0.242164,2.419,0.355217,-0.242218,2.41868,-0.0149735,-0.000464267,-0.0170038,11.858,0.000233206,-1.89986e-15,-2.82423e-09,-1.89986e-15,0.000233206,1.24653e-10,-2.82423e-09,1.24653e-10,0.000233206
0.355218,-0.242188,2.41895,0.355183,-0.242208,2.4185,-0.0149823,-0.000488447,-0.017052,11.8355,0.000220702,1.08615e-15,9.42336e-10,1.08615e-15,0.000220702,2.4303e-10,9.42336e-10,2.4303e-10,0.000220702
0.355209,-0.242213,2.41863,0.355173,-0.242236,2.41773,-0.014991,-0.000513308,-0.0173743,11.9284,0.000213033,5.95835e-15,3.1484e-09,5.95835e-15,0.000213033,3.11469e-10,3.1484e-09,3.11469e-10,0.000213033
0.355199,-0.242212,2.41855,0.355161,-0.242207,2.41825,-0.0150011,-0.00051199,-0.0174526,11.9031,0.000208255,3.24835e-15,1.9736e-09,3.24835e-15,0.000208255,1.95248e-10,1.9736e-09,1.95248e-10,0.000208255
0.355178,-0.242204,2.41854,0.355098,-0.242174,2.4185,-0.0150218,-0.000504247,-0.0174619,11.9475,0.000205249,1.85832e-15,1.24659e-09,1.85832e-15,0.000205249,1.23324e-10,1.24659e-09,1.23324e-10,0.000205249
0.35517,-0.242219,2.41837,0.35514,-0.242276,2.41771,-0.0150296,-0.000518757,-0.0176308,11.7994,0.000203345,1.10167e-15,7.91157e-10,1.10167e-15,0.000203345,7.82688e-11,7.91157e-10,7.82688e-11,0.000203345
0.355169,-0.242201,2.41824,0.355166,-0.242207,2.41803,-0.0150315,-0.000501476,-0.0177621,11.9266,0.000202135,1.76856e-15,-1.92544e-09,1.76856e-15,0.000202135,-1.01204e-10,-1.92544e-09,-1.01204e-10,0.000202135
0.355163,-0.242219,2.41821,0.355139,-0.242289,2.41809,-0.0150373,-0.000519109,-0.0177921,11.994,0.000201364,1.02876e-15,-1.22808e-09,1.02876e-15,0.000201364,-6.45496e-11,-1.22808e-09,-6.45496e-11,0.000201364
0.355141,-0.242232,2.41818,0.355053,-0.242286,2.41806,-0.0150594,-0.000532471,-0.017821,11.9521,0.000200872,6.16519e-16,-7.84259e-10,6.16519e-16,0.000200872,-4.12217e-11,-7.84259e-10,-4.12217e-11,0.000200872
0.35513,-0.242253,2.41805,0.355164,-0.242331,2.41786,-0.0150696,-0.000553083,-0.0179479,11.9548,0.000200558,5.89488e-15,-3.51902e-10,5.89488e-15,0.000200558,-2.43541e-09,-3.51902e-10,-2.43541e-09,0.000200558
0.355128,-0.242258,2.41815,0.355042,-0.24228,2.41824,-0.0150723,-0.000557631,-0.0178462,11.8562,0.000200357,-1.04394e-15,-3.74258e-10,-1.04394e-15,0.000200357,8.49226e-10,-3.74258e-10,8.49226e-10,0.000200357
0.355126,-0.242258,2.41811,0.355119,-0.242258,2.41792,-0.0150741,-0.000557782,-0.0178923,11.8841,0.000200228,-5.05153e-16,-2.39389e-10,-5.05153e-16,0.000200228,5.43195e-10,-2.39389e-10,5.43195e-10,0.000200228
0.355135,-0.242256,2.41803,0.355173,-0.242248,2.4177,-0.0150647,-0.000555814,-0.0179749,11.9349,0.000200146,-2.56639e-16,-1.53153e-10,-2.56639e-16,0.000200146,3.47518e-10,-1.53153e-10,3.47518e-10,0.000200146
0.355119,-0.242262,2.41808,0.355053,-0.242288,2.41832,-0.0150811,-0.000562241,-0.0179162,11.9496,0.000200093,-1.3697e-16,-9.79949e-11,-1.3697e-16,0.000200093,2.22359e-10,-9.79949e-11,2.22359e-10,0.000200093
0.355116,-0.242264,2.41819,0.355104,-0.242271,2.41863,-0.0150839,-0.000563985,-0.0178075,11.9186,0.00020006,-7.64935e-17,-6.27074e-11,-7.64935e-17,0.00020006,1.42289e-10,-6.27074e-11,1.42289e-10,0.00020006
0.355136,-0.242274,2.41806,0.355217,-0.242315,2.41751,-0.0150637,-0.000574271,-0.0179447,11.9996,0.000200038,-4.43834e-17,-4.01289e-11,-4.43834e-17,0.000200038,9.10561e-11,-4.01289e-11,9.10561e-11,0.000200038
0.355121,-0.242268,2.41804,0.355066,-0.242317,2.41768,-0.0150788,-0.000567831,-0.0179565,11.9384,0.000200025,1.42844e-15,-2.42794e-09,1.42844e-15,0.000200025,-9.07145e-11,-2.42794e-09,-9.07145e-11,0.000200025
0.355125,-0.242275,2.41799,0.355139,-0.242303,2.41777,-0.0150751,-0.000574811,-0.0180121,11.9351,0.000200016,8.01405e-16,-1.55382e-09,8.01405e-16,0.000200016,-5.8055e-11,-1.55382e-09,-5.8055e-11,0.000200016
0.355117,-0.242281,2.41793,0.35508,-0.242231,2.41801,-0.0150832,-0.000581053,-0.0180708,11.9858,0.00020001,1.25217e-15,1.40769e-09,1.25217e-15,0.00020001,1.11278e-10,1.40769e-09,1.11278e-10,0.00020001
0.355114,-0.242279,2.41792,0.355107,-0.242344,2.41757,-0.0150861,-0.000578684,-0.0180795,12.0106,0.000200006,1.06312e-15,-1.50114e-09,1.06312e-15,0.000200006,-7.74529e-11,-1.50114e-09,-7.74529e-11,0.000200006
0.355103,-0.24229,2.41792,0.355058,-0.242338,2.41793,-0.0150972,-0.000590458,-0.0180783,11.8913,0.000200004,6.20861e-16,-9.60721e-10,6.20861e-16,0.000200004,-4.95694e-11,-9.60721e-10,-4.95694e-11,0.000200004
0.355116,-0.242277,2.41794,0.355167,-0.242224,2.41803,-0.0150844,-0.000577188,-0.0180562,11.9246,0.000200003,3.72966e-16,-6.14857e-10,3.72966e-16,0.000200003,-3.17242e-11,-6.14857e-10,-3.17242e-11,0.000200003
0.355099,-0.242273,2.41799,0.35503,-0.242256,2.41817,-0.0151014,-0.000572865,-0.0180099,11.946,0.000200002,2.2871e-16,-3.93507e-10,2.2871e-16,0.000200002,-2.03034e-11,-3.93507e-10,-2.03034e-11,0.000200002
0.355107,-0.24228,2.41788,0.355141,-0.24231,2.41746,-0.0150929,-0.000580341,-0.0181159,11.9894,0.000200001,1.42284e-16,-2.51844e-10,1.42284e-16,0.000200001,-1.29941e-11,-2.51844e-10,-1.29941e-11,0.000200001
0.355109,-0.24228,2.4178,0.355115,-0.24228,2.41744,-0.0150914,-0.000580323,-0.0182044,12.0307,0.000200001,8.93859e-17,-1.6118e-10,8.93859e-17,0.000200001,-8.31623e-12,-1.6118e-10,-8.31623e-12,0.000200001
0.355092,-0.242265,2.41784,0.355025,-0.242205,2.41803,-0.0151081,-0.000565319,-0.0181565,11.9841,0.0002,5.65206e-17,-1.03155e-10,5.65206e-17,0.0002,-5.32238e-12,-1.03155e-10,-5.32238e-12,0.0002
0.355091,-0.242266,2.41773,0.355164,-0.242265,2.4176,-0.0151088,-0.000566119,-0.0182688,12.0494,0.0002,-1.26092e-15,8.20586e-11,-1.26092e-15,0.0002,-2.40541e-09,8.20586e-11,-2.40541e-09,0.0002
0.355134,-0.242266,2.41773,0.355232,-0.242272,2.41743,-0.0150656,-0.000566283,-0.0182651,11.9528,0.0002,-7.16895e-16,-9.56717e-11,-7.16895e-16,0.0002,8.62534e-10,-9.56717e-11,8.62534e-10,0.0002
0.355135,-0.242269,2.41774,0.35514,-0.242277,2.41775,-0.0150646,-0.000568503,-0.0182626,12.0791,0.0002,-4.16562e-16,-6.12299e-11,-4.16562e-16,0.0002,5.52022e-10,-6.12299e-11,5.52022e-10,0.0002
0.355156,-0.242275,2.41774,0.355239,-0.242301,2.41775,-0.0150438,-0.000575077,-0.0182592,11.9423,0.0002,-2.49294e-16,-3.91871e-11,-2.49294e-16,0.0002,3.53294e-10,-3.91871e-11,3.53294e-10,0.0002
0.355156,-0.242272,2.41772,0.355157,-0.242261,2.41762,-0.0150437,-0.000572326,-0.0182828,11.9822,0.0002,-1.5246e-16,-2.50797e-11,-1.5246e-16,0.0002,2.26108e-10,-2.50797e-11,2.26108e-10,0.0002
