EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
0.607417,0.289549,-1.65639,0.607417,0.289549,-1.65639,0.00741654,-0.0648513,-0.0863893,14.4052,0.000999999,-4.32142e-23,1.33067e-14,1.15242e-23,0.000999999,-1.32854e-14,1.3303e-14,-1.32862e-14,0.000999999
0.608633,0.286768,-1.66089,0.609777,0.284108,-1.66526,0.00863269,-0.067632,-0.0908922,14.4822,0.000512195,-2.1227e-14,-2.88172e-09,-2.1227e-14,0.000512195,3.4221e-09,-2.88172e-09,3.4221e-09,0.000512195
0.609271,0.285632,-1.66281,0.610406,0.283612,-1.66622,0.00927096,-0.068768,-0.0928113,14.4239,0.000359875,-6.11131e-15,-1.18081e-09,-6.11131e-15,0.000359875,1.40224e-09,-1.18081e-09,1.40224e-09,0.000359875
0.609624,0.284901,-1.664,0.610455,0.283154,-1.66672,0.00962364,-0.0694987,-0.0940033,14.4013,0.000290717,2.32258e-14,2.02403e-09,2.32258e-14,0.000290717,2.88082e-09,2.02403e-09,2.88082e-09,0.000290717
0.609819,0.284424,-1.66466,0.610428,0.282979,-1.66683,0.00981901,-0.0699765,-0.0946635,14.4857,0.000254131,3.75252e-15,-1.21477e-09,3.75252e-15,0.000254131,-3.38224e-10,-1.21477e-09,-3.38224e-10,0.000254131
0.609988,0.284322,-1.66471,0.610544,0.283987,-1.66487,0.009988,-0.0700782,-0.0947124,14.7404,0.000233206,2.02114e-15,-7.14253e-10,2.02114e-15,0.000233206,-1.98867e-10,-7.14253e-10,-1.98867e-10,0.000233206
0.610101,0.28406,-1.6652,0.610458,0.283186,-1.66666,0.0101011,-0.07034,-0.0952035,14.3303,0.000220702,1.55956e-14,1.6175e-09,1.55956e-14,0.000220702,1.57706e-09,1.6175e-09,1.57706e-09,0.000220702
0.61018,0.283839,-1.66557,0.610473,0.283022,-1.66693,0.0101803,-0.0705612,-0.0955714,14.4675,0.000213033,8.41533e-15,1.00175e-09,8.41533e-15,0.000213033,9.76698e-10,1.00175e-09,9.76698e-10,0.000213033
0.610229,0.283711,-1.6658,0.610415,0.283224,-1.66668,0.0102292,-0.0706892,-0.0958019,14.3276,0.000208255,4.78964e-15,6.27954e-10,4.78964e-15,0.000208255,6.12253e-10,6.27954e-10,6.12253e-10,0.000208255
0.610278,0.283609,-1.66599,0.610466,0.283214,-1.6667,0.0102779,-0.0707912,-0.0959852,14.4031,0.000205249,2.83228e-15,3.96634e-10,2.83228e-15,0.000205249,3.86717e-10,3.96634e-10,3.86717e-10,0.000205249
0.610353,0.283546,-1.66616,0.610645,0.2833,-1.66687,0.0103526,-0.070854,-0.0961648,14.3183,0.000203345,1.71998e-15,2.51728e-10,1.71998e-15,0.000203345,2.45434e-10,2.51728e-10,2.45434e-10,0.000203345
0.610382,0.283444,-1.66628,0.610547,0.282982,-1.66703,0.0103823,-0.0709565,-0.0962754,14.4236,0.000202135,1.63789e-14,-1.71662e-09,1.63789e-14,0.000202135,-1.39315e-09,-1.71662e-09,-1.39315e-09,0.000202135
0.610425,0.28336,-1.66642,0.610595,0.283029,-1.667,0.0104252,-0.0710399,-0.096421,14.5881,0.000201364,9.22858e-15,-1.09489e-09,9.22858e-15,0.000201364,-8.88577e-10,-1.09489e-09,-8.88577e-10,0.000201364
