EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.668732,-0.313516,1.61638,-0.668732,-0.313516,1.61638,0.0056996,0.00791862,0.0227561,0.918105,0.000999999,-2.29378e-23,-5.3154e-14,-1.82599e-23,0.000999999,-1.19969e-15,-5.31571e-14,-1.19959e-15,0.000999999
-0.668528,-0.314102,1.61733,-0.668335,-0.314661,1.61825,0.00590315,0.00733206,0.0237142,0.960135,0.000512195,-5.46553e-24,-1.26482e-14,-4.35241e-24,0.000512195,-2.85471e-16,-1.26489e-14,-2.85447e-16,0.000512195
-0.668435,-0.314364,1.61774,-0.668268,-0.314828,1.61847,0.00622295,0.00744788,0.0199617,0.964277,0.000359875,-2.2405e-24,-5.18272e-15,-1.78439e-24,0.000359875,-1.16975e-16,-5.18303e-15,-1.16965e-16,0.000359875
-0.666708,-0.315277,1.61577,-0.662494,-0.317507,1.61095,0.00794987,0.00653398,0.0179876,0.575548,0.000290717,-1.12737e-24,-2.60733e-15,-8.97912e-25,0.000290717,-5.88479e-17,-2.60749e-15,-5.88429e-17,0.000290717
-0.665653,-0.315864,1.61457,-0.662558,-0.317584,1.61105,0.00900512,0.00599313,0.0164084,0.588971,0.000254131,-6.27245e-25,-1.45052e-15,-4.99591e-25,0.000254131,-3.27383e-17,-1.4506e-15,-3.27356e-17,0.000254131
-0.66493,-0.316276,1.61377,-0.662551,-0.317631,1.61115,0.00972864,0.00558097,0.0156119,0.588971,0.000233206,-3.68825e-25,-8.52865e-16,-2.93768e-25,0.000233206,-1.92493e-17,-8.52915e-16,-1.92476e-17,0.000233206
-0.664395,-0.316579,1.6132,-0.662506,-0.317651,1.61117,0.0102635,0.00527743,0.0150377,0.58226,0.000220702,-2.23997e-25,-5.1795e-16,-1.78415e-25,0.000220702,-1.16902e-17,-5.1798e-16,-1.16892e-17,0.000220702
-0.663975,-0.316811,1.61278,-0.662425,-0.317665,1.61123,0.010707,0.00503007,0.0146195,0.588971,0.000213033,-1.38728e-25,-3.20775e-16,-1.10498e-25,0.000213033,-7.23994e-18,-3.20794e-16,-7.23932e-18,0.000213033
-0.663641,-0.316993,1.61247,-0.662368,-0.317685,1.61128,0.0110416,0.00484789,0.0143064,0.588971,0.000208255,-8.69643e-26,-2.01081e-16,-6.9268e-26,0.000208255,-4.53843e-18,-2.01093e-16,-4.53804e-18,0.000208255
-0.664047,-0.31667,1.6137,-0.665623,-0.31542,1.61849,0.0104234,0.00487005,0.0189925,0.660712,0.000205249,-5.49297e-26,-1.27009e-16,-4.37522e-26,0.000205249,-2.8666e-18,-1.27016e-16,-2.86636e-18,0.000205249
