EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.668913,-0.306461,1.61722,-0.668913,-0.306461,1.61722,0.00551817,0.0149731,0.023602,0.93824,0.000999999,-2.29378e-23,-5.3154e-14,-1.82599e-23,0.000999999,-1.19969e-15,-5.31571e-14,-1.19959e-15,0.000999999
-0.668774,-0.306892,1.61783,-0.668641,-0.307301,1.61841,0.00565764,0.0145428,0.0242089,0.970989,0.000512195,-5.46553e-24,-1.26482e-14,-4.35241e-24,0.000512195,-2.85471e-16,-1.26489e-14,-2.85447e-16,0.000512195
-0.668702,-0.307085,1.61815,-0.668574,-0.307428,1.61871,0.00595565,0.0147268,0.0203665,0.964277,0.000359875,-2.2405e-24,-5.18272e-15,-1.78439e-24,0.000359875,-1.16975e-16,-5.18303e-15,-1.16965e-16,0.000359875
-0.666988,-0.307941,1.61608,-0.662805,-0.310032,1.61102,0.00767011,0.01387,0.0182956,0.577165,0.000290717,-1.12737e-24,-2.60733e-15,-8.97912e-25,0.000290717,-5.88479e-17,-2.60749e-15,-5.88429e-17,0.000290717
-0.665933,-0.308497,1.61481,-0.662836,-0.310127,1.6111,0.00872576,0.01336,0.0166502,0.588971,0.000254131,-6.27245e-25,-1.45052e-15,-4.99591e-25,0.000254131,-3.27383e-17,-1.4506e-15,-3.27356e-17,0.000254131
-0.665215,-0.308884,1.61397,-0.662855,-0.310156,1.61119,0.00944344,0.012973,0.0158059,0.588971,0.000233206,-3.68825e-25,-8.52865e-16,-2.93768e-25,0.000233206,-1.92493e-17,-8.52915e-16,-1.92476e-17,0.000233206
-0.664682,-0.30917,1.61337,-0.6628,-0.310179,1.61128,0.00997639,0.0126871,0.0152132,0.588971,0.000220702,-2.23997e-25,-5.1795e-16,-1.78415e-25,0.000220702,-1.16902e-17,-5.1798e-16,-1.16892e-17,0.000220702
-0.664266,-0.309389,1.61294,-0.662728,-0.310199,1.61133,0.0104166,0.0124518,0.0147775,0.588971,0.000213033,-1.38728e-25,-3.20775e-16,-1.10498e-25,0.000213033,-7.23994e-18,-3.20794e-16,-7.23932e-18,0.000213033
-0.663933,-0.309559,1.6126,-0.662671,-0.310207,1.61133,0.0107488,0.0122813,0.0144433,0.588971,0.000208255,-8.69643e-26,-2.01081e-16,-6.9268e-26,0.000208255,-4.53843e-18,-2.01093e-16,-4.53804e-18,0.000208255
-0.664354,-0.309228,1.61381,-0.665981,-0.307946,1.6185,0.0101172,0.0123119,0.0191042,0.660712,0.000205249,-5.49297e-26,-1.27009e-16,-4.37522e-26,0.000205249,-2.8666e-18,-1.27016e-16,-2.86636e-18,0.000205249
-0.664696,-0.308954,1.61479,-0.666037,-0.307879,1.61863,0.00977486,0.0125863,0.0200838,0.680036,0.000203345,-3.48618e-26,-8.06072e-17,-2.77679e-26,0.000203345,-1.81932e-18,-8.0612e-17,-1.81916e-18,0.000203345
-0.664973,-0.308736,1.61557,-0.666066,-0.307876,1.61863,0.0094979,0.0128042,0.0208589,0.680036,0.000202135,-2.21927e-26,-5.13136e-17,-1.76768e-26,0.000202135,-1.15816e-18,-5.13166e-17,-1.15806e-18,0.000202135
-0.665197,-0.308563,1.61618,-0.666084,-0.307875,1.61861,0.00945489,0.0131154,0.0194108,0.677645,0.000201364,-1.4155e-26,-3.27288e-17,-1.12746e-26,0.000201364,-7.38694e-19,-3.27307e-17,-7.38631e-19,0.000201364
-0.665384,-0.308433,1.61664,-0.66613,-0.307917,1.61847,0.00926738,0.013245,0.0198716,0.653863,0.000200872,-9.03945e-27,-2.09008e-17,-7.20005e-27,0.000200872,-4.71734e-19,-2.0902e-17,-4.71694e-19,0.000200872
