EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.659002,-0.310326,1.61585,-0.659002,-0.310326,1.61585,0.0154294,0.0111087,0.0222317,0.9151,0.000999999,-2.29378e-23,-5.3154e-14,-1.82599e-23,0.000999999,-1.19969e-15,-5.31571e-14,-1.19959e-15,0.000999999
-0.658739,-0.310995,1.617,-0.658488,-0.311632,1.6181,0.0156928,0.0104398,0.0233848,0.957566,0.000512195,-5.46553e-24,-1.26482e-14,-4.35241e-24,0.000512195,-2.85471e-16,-1.26489e-14,-2.85447e-16,0.000512195
-0.658626,-0.311284,1.61752,-0.658425,-0.311798,1.61843,0.0160316,0.0105278,0.0197383,0.960135,0.000359875,-2.2405e-24,-5.18272e-15,-1.78439e-24,0.000359875,-1.16975e-16,-5.18303e-15,-1.16965e-16,0.000359875
-0.656878,-0.312246,1.61559,-0.652614,-0.314593,1.61088,0.0177795,0.00956566,0.0178083,0.58226,0.000290717,-1.12737e-24,-2.60733e-15,-8.97912e-25,0.000290717,-5.88479e-17,-2.60749e-15,-5.88429e-17,0.000290717
-0.655807,-0.312865,1.61442,-0.652664,-0.314684,1.611,0.0188512,0.00899123,0.0162629,0.588971,0.000254131,-6.27245e-25,-1.45052e-15,-4.99591e-25,0.000254131,-3.27383e-17,-1.4506e-15,-3.27356e-17,0.000254131
-0.655072,-0.3133,1.61365,-0.652656,-0.314727,1.61111,0.0195862,0.00855717,0.0154901,0.58226,0.000233206,-3.68825e-25,-8.52865e-16,-2.93768e-25,0.000233206,-1.92493e-17,-8.52915e-16,-1.92476e-17,0.000233206
-0.65453,-0.313616,1.6131,-0.652614,-0.314732,1.61116,0.0201287,0.00824092,0.0149407,0.588971,0.000220702,-2.23997e-25,-5.1795e-16,-1.78415e-25,0.000220702,-1.16902e-17,-5.1798e-16,-1.16892e-17,0.000220702
-0.654104,-0.313855,1.61269,-0.652529,-0.314738,1.61118,0.0205788,0.00798586,0.0145321,0.588971,0.000213033,-1.38728e-25,-3.20775e-16,-1.10498e-25,0.000213033,-7.23994e-18,-3.20794e-16,-7.23932e-18,0.000213033
-0.653769,-0.314044,1.61239,-0.652496,-0.314765,1.61123,0.0209136,0.00779639,0.0142279,0.588971,0.000208255,-8.69643e-26,-2.01081e-16,-6.9268e-26,0.000208255,-4.53843e-18,-2.01093e-16,-4.53804e-18,0.000208255
-0.654179,-0.313703,1.61367,-0.655766,-0.312382,1.61862,0.0202923,0.00783686,0.0189575,0.680036,0.000205249,-5.49297e-26,-1.27009e-16,-4.37522e-26,0.000205249,-2.8666e-18,-1.27016e-16,-2.86636e-18,0.000205249
-0.654511,-0.313433,1.61468,-0.655813,-0.312373,1.61863,0.0199599,0.00810729,0.0199669,0.680036,0.000203345,-3.48618e-26,-8.06072e-17,-2.77679e-26,0.000203345,-1.81932e-18,-8.0612e-17,-1.81916e-18,0.000203345
-0.654782,-0.313235,1.61545,-0.655852,-0.312456,1.61849,0.0196888,0.00830478,0.020737,0.660712,0.000202135,-2.21927e-26,-5.13136e-17,-1.76768e-26,0.000202135,-1.15816e-18,-5.13166e-17,-1.15806e-18,0.000202135
-0.655002,-0.313077,1.61606,-0.655874,-0.312449,1.61848,0.0196497,0.00860114,0.0192874,0.653863,0.000201364,-1.4155e-26,-3.27288e-17,-1.12746e-26,0.000201364,-7.38694e-19,-3.27307e-17,-7.38631e-19,0.000201364
-0.655186,-0.312949,1.61655,-0.655919,-0.312443,1.61849,0.0194654,0.00872851,0.0197757,0.653863,0.000200872,-9.03945e-27,-2.09008e-17,-7.20005e-27,0.000200872,-4.71734e-19,-2.0902e-17,-4.71694e-19,0.000200872
-0.65557,-0.312897,1.61672,-0.657102,-0.312689,1.61742,0.0191434,0.0088889,0.018731,0.674142,0.000200558,-5.77719e-27,-1.33579e-17,-4.60162e-27,0.000200558,-3.01489e-19,-1.33586e-17,-3.01463e-19,0.000200558
-0.655873,-0.312876,1.61683,-0.657082,-0.31279,1.61724,0.0188406,0.00891037,0.0188353,0.648296,0.000200357,-3.6941e-27,-8.54141e-18,-2.94241e-27,0.000200357,-1.92781e-19,-8.54191e-18,-1.92764e-19,0.000200357
-0.65612,-0.312839,1.61694,-0.657105,-0.312694,1.61739,0.0185939,0.00894685,0.0189487,0.660808,0.000200228,-2.36288e-27,-5.46338e-18,-1.88207e-27,0.000200228,-1.23309e-19,-5.4637e-18,-1.23299e-19,0.000200228
-0.656315,-0.312808,1.61703,-0.657095,-0.312681,1.61737,0.018224,0.00867425,0.0223756,0.660808,0.000200146,-1.51169e-27,-3.49529e-18,-1.20408e-27,0.000200146,-7.88891e-20,-3.49549e-18,-7.88824e-20,0.000200146
-0.656471,-0.312793,1.61706,-0.657097,-0.312736,1.6172,0.0180675,0.00868856,0.0224108,0.648296,0.000200093,-9.67256e-28,-2.23646e-18,-7.70434e-28,0.000200093,-5.04772e-20,-2.23659e-18,-5.0473e-20,0.000200093
-0.656596,-0.312775,1.61711,-0.657095,-0.3127,1.61731,0.0179488,0.00865411,0.0227802,0.641629,0.00020006,-6.18951e-28,-1.43112e-18,-4.93004e-28,0.00020006,-3.23006e-20,-1.43121e-18,-3.22979e-20,0.00020006
-0.65603,-0.312511,1.61659,-0.653766,-0.311458,1.61452,0.018515,0.00891747,0.0222627,0.566749,0.000200038,-3.96091e-28,-9.1583e-19,-3.15492e-28,0.000200038,-2.06704e-20,-9.15884e-19,-2.06687e-20,0.000200038
-0.655559,-0.312293,1.61617,-0.653672,-0.311418,1.61448,0.0189866,0.00913622,0.0218408,0.565952,0.000200025,-2.53483e-28,-5.86095e-19,-2.01903e-28,0.000200025,-1.32283e-20,-5.8613e-19,-1.32271e-20,0.000200025
-0.655172,-0.312112,1.61581,-0.653625,-0.311391,1.61438,0.0195938,0.009589,0.0180934,0.562432,0.000200016,-1.62223e-28,-3.75086e-19,-1.29213e-28,0.000200016,-8.46575e-21,-3.75108e-19,-8.46503e-21,0.000200016
-0.654854,-0.311961,1.61551,-0.653582,-0.311357,1.61431,0.0199119,0.00974012,0.0177918,0.562432,0.00020001,-1.0382e-28,-2.40049e-19,-8.26941e-29,0.00020001,-5.41794e-21,-2.40063e-19,-5.41748e-21,0.00020001
-0.654589,-0.311833,1.61526,-0.653528,-0.311319,1.61423,0.0202005,0.00989529,0.0173063,0.555675,0.000200006,-6.64436e-29,-1.53629e-19,-5.29234e-29,0.000200006,-3.46743e-21,-1.53638e-19,-3.46713e-21,0.000200006
-0.655141,-0.312195,1.61641,-0.65735,-0.313644,1.62104,0.0196483,0.00953309,0.0184636,1.11886,0.000200004,-4.25235e-29,-9.83215e-20,-3.38706e-29,0.000200004,-2.21913e-21,-9.83273e-20,-2.21894e-21,0.000200004
-0.655573,-0.312514,1.61737,-0.657302,-0.313788,1.62122,0.0189122,0.00886982,0.0237647,1.13512,0.000200003,-2.72148e-29,-6.29254e-20,-2.1677e-29,0.000200003,-1.42023e-21,-6.29291e-20,-1.42011e-21,0.000200003
-0.655913,-0.312775,1.61816,-0.657271,-0.31382,1.62131,0.0185725,0.00860857,0.0245519,1.13512,0.000200002,-1.74174e-29,-4.02721e-20,-1.38733e-29,0.000200002,-9.08946e-22,-4.02744e-20,-9.08869e-22,0.000200002
-0.656185,-0.312992,1.61881,-0.657276,-0.31386,1.6214,0.0182999,0.0083915,0.0251988,1.12196,0.000200001,-1.11471e-29,-2.57741e-20,-8.87886e-30,0.000200001,-5.81724e-22,-2.57756e-20,-5.81675e-22,0.000200001
-0.656391,-0.313178,1.61933,-0.657214,-0.313922,1.62139,0.0181109,0.00830555,0.0250658,1.13622,0.000200001,-7.13415e-30,-1.64954e-20,-5.68246e-30,0.000200001,-3.72303e-22,-1.64963e-20,-3.72271e-22,0.000200001
-0.656556,-0.313332,1.61975,-0.657218,-0.31395,1.62146,0.0179457,0.00815123,0.0254924,1.12306,0.0002,-4.56585e-30,-1.0557e-20,-3.63677e-30,0.0002,-2.38273e-22,-1.05576e-20,-2.38253e-22,0.0002
-0.656126,-0.312807,1.62476,-0.654402,-0.310704,1.64478,0.0183388,0.0087282,0.0304075,0.463244,0.0002,-2.92214e-30,-6.75649e-21,-2.32753e-30,0.0002,-1.52495e-22,-6.75689e-21,-1.52482e-22,0.0002
-0.655762,-0.3125,1.62859,-0.654207,-0.31116,1.64549,0.0187025,0.00903509,0.0342437,0.467732,0.0002,-7.55781e-14,3.58075e-09,-7.55781e-14,0.0002,-3.21627e-09,3.58075e-09,-3.21627e-09,0.0002
-0.655466,-0.312384,1.63147,-0.654095,-0.311482,1.64609,0.0189986,0.00915101,0.0371219,0.448259,0.0002,-8.74107e-13,1.62711e-08,-8.74107e-13,0.0002,-8.0783e-09,1.62711e-08,-8.0783e-09,0.0002
-0.655208,-0.31235,1.63365,-0.653991,-0.311778,1.6465,0.0196102,0.00948265,0.0357087,0.455016,0.0002,-1.92537e-12,2.44086e-08,-1.92537e-12,0.0002,-1.11534e-08,2.44086e-08,-1.11534e-08,0.0002
-0.65497,-0.312308,1.63579,-0.65392,-0.312026,1.64696,0.0198482,0.00952485,0.0378538,0.475286,0.0002,-1.66385e-12,1.92299e-08,-1.66385e-12,0.0002,-1.03234e-08,1.92299e-08,-1.03234e-08,0.0002
-0.655715,-0.311947,1.63307,-0.658697,-0.310501,1.62324,0.018971,0.00991894,0.0349652,1.00273,0.0002,-9.63221e-13,1.23071e-08,-9.63221e-13,0.0002,-6.60697e-09,1.23071e-08,-6.60697e-09,0.0002
-0.656329,-0.311627,1.63104,-0.658784,-0.310347,1.62289,0.0183573,0.0102389,0.0329279,0.997708,0.0002,-5.74829e-13,7.87655e-09,-5.74829e-13,0.0002,-4.22846e-09,7.87655e-09,-4.22846e-09,0.0002
-0.656836,-0.311338,1.62935,-0.658863,-0.310184,1.62261,0.0178505,0.0105274,0.0312418,0.991086,0.0002,-3.50838e-13,5.04099e-09,-3.50838e-13,0.0002,-2.70621e-09,5.04099e-09,-2.70621e-09,0.0002
-0.657247,-0.311088,1.62795,-0.658891,-0.310085,1.62237,0.0171926,0.0105034,0.0332545,0.977841,0.0002,-2.17552e-13,3.22623e-09,-2.17552e-13,0.0002,-1.73198e-09,3.22623e-09,-1.73198e-09,0.0002
-0.65759,-0.310856,1.62681,-0.65896,-0.30993,1.62221,0.01685,0.010735,0.0321055,0.990813,0.0002,-1.36372e-13,2.06479e-09,-1.36372e-13,0.0002,-1.10847e-09,2.06479e-09,-1.10847e-09,0.0002
