EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.678675,-0.30979,1.61771,-0.678675,-0.30979,1.61771,-0.00424343,0.0116445,0.0240914,0.946712,0.000999999,-2.29378e-23,-5.3154e-14,-1.82599e-23,0.000999999,-1.19969e-15,-5.31571e-14,-1.19959e-15,0.000999999
-0.678568,-0.310092,1.61818,-0.678466,-0.31038,1.61862,-0.00413657,0.011342,0.0245567,0.957566,0.000512195,-5.46553e-24,-1.26482e-14,-4.35241e-24,0.000512195,-2.85471e-16,-1.26489e-14,-2.85447e-16,0.000512195
-0.678515,-0.310225,1.61841,-0.678421,-0.310462,1.61884,-0.00385771,0.0115861,0.0206343,0.964277,0.000359875,-2.2405e-24,-5.18272e-15,-1.78439e-24,0.000359875,-1.16975e-16,-5.18303e-15,-1.16965e-16,0.000359875
-0.676817,-0.311027,1.61626,-0.672673,-0.312983,1.61099,-0.00215931,0.0107842,0.0184766,0.588971,0.000290717,-1.12737e-24,-2.60733e-15,-8.97912e-25,0.000290717,-5.88479e-17,-2.60749e-15,-5.88429e-17,0.000290717
-0.675785,-0.31154,1.61496,-0.672756,-0.313047,1.61116,-0.00112665,0.0103163,0.0168012,0.588971,0.000254131,-6.27245e-25,-1.45052e-15,-4.99591e-25,0.000254131,-3.27383e-17,-1.4506e-15,-3.27356e-17,0.000254131
-0.675075,-0.311904,1.61411,-0.67274,-0.313101,1.61131,-0.000416513,0.00995246,0.0159508,0.588971,0.000233206,-3.68825e-25,-8.52865e-16,-2.93768e-25,0.000233206,-1.92493e-17,-8.52915e-16,-1.92476e-17,0.000233206
-0.674547,-0.312176,1.61351,-0.672683,-0.313135,1.61137,0.00011128,0.00968079,0.0153458,0.588971,0.000220702,-2.23997e-25,-5.1795e-16,-1.78415e-25,0.000220702,-1.16902e-17,-5.1798e-16,-1.16892e-17,0.000220702
-0.674134,-0.31238,1.61306,-0.672609,-0.313135,1.61141,0.000548141,0.00946043,0.0148986,0.588971,0.000213033,-1.38728e-25,-3.20775e-16,-1.10498e-25,0.000213033,-7.23994e-18,-3.20794e-16,-7.23932e-18,0.000213033
-0.673806,-0.31254,1.61272,-0.672558,-0.313147,1.61144,0.000876452,0.00930079,0.0145618,0.588971,0.000208255,-8.69643e-26,-2.01081e-16,-6.9268e-26,0.000208255,-4.53843e-18,-2.01093e-16,-4.53804e-18,0.000208255
-0.674219,-0.312193,1.61394,-0.675821,-0.310852,1.61864,0.000251429,0.00934655,0.0192273,0.680036,0.000205249,-5.49297e-26,-1.27009e-16,-4.37522e-26,0.000205249,-2.8666e-18,-1.27016e-16,-2.86636e-18,0.000205249
-0.674559,-0.311922,1.6149,-0.675891,-0.310861,1.61865,-8.85311e-05,0.00961759,0.0201853,0.680036,0.000203345,-3.48618e-26,-8.06072e-17,-2.77679e-26,0.000203345,-1.81932e-18,-8.0612e-17,-1.81916e-18,0.000203345
-0.674836,-0.311706,1.61566,-0.675929,-0.310854,1.61867,-0.000365471,0.00983359,0.0209487,0.680036,0.000202135,-2.21927e-26,-5.13136e-17,-1.76768e-26,0.000202135,-1.15816e-18,-5.13166e-17,-1.15806e-18,0.000202135
-0.675063,-0.311537,1.61625,-0.675963,-0.310866,1.61859,-0.000411716,0.0101408,0.0194787,0.677645,0.000201364,-1.4155e-26,-3.27288e-17,-1.12746e-26,0.000201364,-7.38694e-19,-3.27307e-17,-7.38631e-19,0.000201364
-0.675251,-0.311396,1.61672,-0.675997,-0.310833,1.61859,-0.000599228,0.0102823,0.0199499,0.677645,0.000200872,-9.03945e-27,-2.09008e-17,-7.20005e-27,0.000200872,-4.71734e-19,-2.0902e-17,-4.71694e-19,0.000200872
-0.675639,-0.311349,1.61686,-0.677186,-0.311163,1.61742,-0.000925223,0.010437,0.0188711,0.661629,0.000200558,-5.77719e-27,-1.33579e-17,-4.60162e-27,0.000200558,-3.01489e-19,-1.33586e-17,-3.01463e-19,0.000200558
-0.675948,-0.311325,1.61692,-0.67718,-0.311229,1.61717,-0.00123394,0.010461,0.0189334,0.648296,0.000200357,-3.6941e-27,-8.54141e-18,-2.94241e-27,0.000200357,-1.92781e-19,-8.54191e-18,-1.92764e-19,0.000200357
-0.676198,-0.311286,1.61702,-0.677198,-0.31113,1.61739,-0.00148438,0.0105,0.0190272,0.660808,0.000200228,-2.36288e-27,-5.46338e-18,-1.88207e-27,0.000200228,-1.23309e-19,-5.4637e-18,-1.23299e-19,0.000200228
-0.676396,-0.311266,1.61706,-0.677185,-0.311184,1.61724,-0.00185675,0.0102161,0.0224113,0.648296,0.000200146,-1.51169e-27,-3.49529e-18,-1.20408e-27,0.000200146,-7.88891e-20,-3.49549e-18,-7.88824e-20,0.000200146
-0.676558,-0.311234,1.61712,-0.677206,-0.311108,1.61736,-0.00201891,0.0102477,0.0224706,0.660808,0.000200093,-9.67256e-28,-2.23646e-18,-7.70434e-28,0.000200093,-5.04772e-20,-2.23659e-18,-5.0473e-20,0.000200093
