EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.675088,-0.31819,1.61616,-0.675088,-0.31819,1.61616,-0.000656237,0.00324476,0.0225353,0.918105,0.000999999,-2.29378e-23,-5.3154e-14,-1.82599e-23,0.000999999,-1.19969e-15,-5.31571e-14,-1.19959e-15,0.000999999
-0.674845,-0.318823,1.61719,-0.674615,-0.319427,1.61817,-0.00041391,0.00261099,0.0235662,0.970989,0.000512195,-5.46553e-24,-1.26482e-14,-4.35241e-24,0.000512195,-2.85471e-16,-1.26489e-14,-2.85447e-16,0.000512195
-0.674746,-0.319103,1.61763,-0.674569,-0.319602,1.61843,-8.82818e-05,0.00270792,0.0198539,0.957566,0.000359875,-2.2405e-24,-5.18272e-15,-1.78439e-24,0.000359875,-1.16975e-16,-5.18303e-15,-1.16965e-16,0.000359875
-0.67302,-0.320025,1.61569,-0.668809,-0.322274,1.61096,0.00163757,0.00178633,0.0179127,0.568837,0.000290717,-1.12737e-24,-2.60733e-15,-8.97912e-25,0.000290717,-5.88479e-17,-2.60749e-15,-5.88429e-17,0.000290717
-0.671964,-0.320616,1.61451,-0.668866,-0.322349,1.61104,0.00269387,0.00124105,0.0163495,0.588971,0.000254131,-6.27245e-25,-1.45052e-15,-4.99591e-25,0.000254131,-3.27383e-17,-1.4506e-15,-3.27356e-17,0.000254131
-0.671241,-0.321032,1.61373,-0.668863,-0.3224,1.61115,0.00341704,0.000824872,0.0155667,0.588971,0.000233206,-3.68825e-25,-8.52865e-16,-2.93768e-25,0.000233206,-1.92493e-17,-8.52915e-16,-1.92476e-17,0.000233206
-0.670709,-0.321333,1.61316,-0.668831,-0.322396,1.61115,0.00394888,0.000523714,0.0149985,0.588971,0.000220702,-2.23997e-25,-5.1795e-16,-1.78415e-25,0.000220702,-1.16902e-17,-5.1798e-16,-1.16892e-17,0.000220702
-0.67029,-0.321564,1.61274,-0.66874,-0.322415,1.61121,0.00439236,0.000277124,0.0145839,0.588971,0.000213033,-1.38728e-25,-3.20775e-16,-1.10498e-25,0.000213033,-7.23994e-18,-3.20794e-16,-7.23932e-18,0.000213033
-0.669955,-0.321743,1.61243,-0.668683,-0.322426,1.61126,0.00472698,9.74896e-05,0.0142745,0.588971,0.000208255,-8.69643e-26,-2.01081e-16,-6.9268e-26,0.000208255,-4.53843e-18,-2.01093e-16,-4.53804e-18,0.000208255
-0.670359,-0.321432,1.61367,-0.671924,-0.320226,1.61847,0.00411145,0.000108284,0.0189639,0.660712,0.000205249,-5.49297e-26,-1.27009e-16,-4.37522e-26,0.000205249,-2.8666e-18,-1.27016e-16,-2.86636e-18,0.000205249
