EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta,counter
-0.633201,-0.297027,1.54971,-0.633201,-0.297027,1.54971,0.0017228,0.0216436,0.026732,3.6721,0.000999999,-4.3936e-23,2.54086e-15,-6.15369e-23,0.000999999,5.31004e-14,2.54115e-15,5.31039e-14,0.000999999,61
-0.633514,-0.293359,1.54571,-0.633812,-0.289865,1.54191,0.00140976,0.0253121,0.022734,3.64705,0.000512195,-1.04704e-23,6.04607e-16,-1.46586e-23,0.000512195,1.26354e-14,6.04677e-16,1.26363e-14,0.000512195,61
-0.633721,-0.290905,1.54307,-0.634089,-0.28654,1.53837,0.00120294,0.027766,0.0200929,3.62062,0.000359875,-4.29236e-24,2.47744e-16,-6.00851e-24,0.000359875,5.1775e-15,2.47772e-16,5.17784e-15,0.000359875,61
-0.633869,-0.289001,1.54101,-0.63423,-0.284355,1.53598,0.00105497,0.02967,0.0180308,3.58203,0.000290717,-2.15987e-24,1.24636e-16,-3.02323e-24,0.000290717,2.60471e-15,1.2465e-16,2.60488e-15,0.000290717,61
-0.633973,-0.287387,1.53927,-0.634279,-0.282649,1.53414,0.00095056,0.0312842,0.0162856,3.56575,0.000254131,-1.20171e-24,6.93374e-17,-1.68202e-24,0.000254131,1.44905e-15,6.93453e-17,1.44915e-15,0.000254131,61
-0.631848,-0.285264,1.52924,-0.624859,-0.278286,1.49628,0.00307148,0.0334105,0.00629012,6.45474,0.000233206,-7.06622e-25,4.07686e-17,-9.8903e-25,0.000233206,8.52005e-16,4.07732e-17,8.52061e-16,0.000233206,63
-0.630401,-0.283067,1.52132,-0.625293,-0.275308,1.49335,0.00451814,0.0356078,-0.00163139,6.41495,0.000220702,-4.29152e-25,2.4759e-17,-6.0066e-25,0.000220702,5.17428e-16,2.47618e-17,5.17462e-16,0.000220702,63
-0.629429,-0.280793,1.51484,-0.625838,-0.272395,1.49089,0.00547844,0.0379043,-0.0081237,6.46908,0.000213033,-2.65787e-25,1.53337e-17,-3.72005e-25,0.000213033,3.20452e-16,1.53354e-17,3.20473e-16,0.000213033,63
-0.628789,-0.278528,1.50933,-0.626357,-0.269917,1.4884,0.00611808,0.0401694,-0.0136285,6.44817,0.000208255,-1.66614e-25,9.61205e-18,-2.33198e-25,0.000208255,2.00878e-16,9.61315e-18,2.00891e-16,0.000208255,63
-0.628391,-0.276302,1.50459,-0.626848,-0.267682,1.48623,0.00651655,0.0423955,-0.0183694,6.43133,0.000205249,-1.05239e-25,6.07126e-18,-1.47295e-25,0.000205249,1.26881e-16,6.07195e-18,1.26889e-16,0.000205249,63
-0.628159,-0.274126,1.50046,-0.627253,-0.265602,1.48427,0.00673782,0.0445763,-0.0225005,6.36709,0.000203345,-6.67914e-26,3.85318e-18,-9.34828e-26,0.000203345,8.0526e-17,3.85362e-18,8.05313e-17,0.000203345,63
-0.629296,-0.274802,1.49835,-0.633781,-0.277471,1.49002,0.00560154,0.0439003,-0.0246098,4.94501,0.000202135,-4.25188e-26,2.45289e-18,-5.95102e-26,0.000202135,5.12619e-17,2.45317e-18,5.12653e-17,0.000202135,58
-0.630198,-0.275308,1.49666,-0.633777,-0.277311,1.48998,0.00469924,0.0433952,-0.0262961,4.94287,0.000201364,-2.71194e-26,1.5645e-18,-3.79568e-26,0.000201364,3.26958e-17,1.56468e-18,3.2698e-17,0.000201364,59
-0.630924,-0.275686,1.4953,-0.633812,-0.27719,1.48986,0.00398709,0.0430079,-0.0276524,4.96145,0.000200872,-1.73186e-26,9.99098e-19,-2.42395e-26,0.000200872,2.08797e-17,9.99212e-19,2.08811e-17,0.000200872,59
-0.631511,-0.275964,1.49418,-0.633853,-0.277074,1.48973,0.00339964,0.0427295,-0.0287689,4.94968,0.000200558,-1.10685e-26,6.38531e-19,-1.54916e-26,0.000200558,1.33444e-17,6.38604e-19,1.33453e-17,0.000200558,59
-0.631988,-0.276162,1.49327,-0.633889,-0.276951,1.48962,0.00292326,0.0425318,-0.0296826,4.94968,0.000200357,-7.0775e-27,4.08295e-19,-9.90581e-27,0.000200357,8.5328e-18,4.08342e-19,8.53336e-18,0.000200357,59
-0.631558,-0.272506,1.49121,-0.629842,-0.257901,1.48299,0.00336284,0.046178,-0.0317402,6.01964,0.000200228,-4.52702e-27,2.6116e-19,-6.3361e-27,0.000200228,5.45787e-18,2.6119e-19,5.45823e-18,0.000200228,59
-0.631307,-0.269112,1.48912,-0.630303,-0.25555,1.48076,0.00361379,0.0495526,-0.0338112,5.96006,0.000200146,-2.89623e-27,1.67081e-19,-4.05363e-27,0.000200146,3.49176e-18,1.671e-19,3.49199e-18,0.000200146,59
-0.631192,-0.265976,1.48704,-0.630734,-0.253439,1.47872,0.00372843,0.0526887,-0.0358918,5.95661,0.000200093,-1.85316e-27,1.06907e-19,-2.59371e-27,0.000200093,2.23421e-18,1.06919e-19,2.23435e-18,0.000200093,62
-0.63117,-0.263071,1.48504,-0.631082,-0.251458,1.47707,0.00375059,0.0555931,-0.037885,5.9156,0.00020006,-1.18584e-27,6.84103e-20,-1.65973e-27,0.00020006,1.42968e-18,6.84181e-20,1.42977e-18,0.00020006,62
-0.631216,-0.260408,1.48309,-0.631399,-0.249754,1.47527,0.00369506,0.058241,-0.0397898,5.91474,0.000200038,-7.58867e-28,4.37784e-20,-1.06213e-27,0.000200038,9.14907e-19,4.37834e-20,9.14967e-19,0.000200038,62
-0.631311,-0.257958,1.48123,-0.631691,-0.248159,1.47379,0.00360001,0.0606909,-0.0416505,5.88026,0.000200025,-4.85645e-28,2.80165e-20,-6.79718e-28,0.000200025,5.85504e-19,2.80197e-20,5.85543e-19,0.000200025,62
-0.63203,-0.255259,1.47878,-0.634904,-0.244466,1.46901,0.00287648,0.0634044,-0.0441055,5.5148,0.000200016,-3.10801e-28,1.79298e-20,-4.35003e-28,0.000200016,3.74708e-19,1.79319e-20,3.74733e-19,0.000200016,64
-0.632731,-0.252727,1.47644,-0.635536,-0.2426,1.46706,0.00217516,0.0659365,-0.046451,5.53088,0.00020001,-1.98907e-28,1.14748e-20,-2.78395e-28,0.00020001,2.39807e-19,1.14761e-20,2.39823e-19,0.00020001,64
-0.633421,-0.250347,1.47423,-0.636182,-0.240826,1.46539,0.00148489,0.0683168,-0.0486616,5.49572,0.000200006,-1.27299e-28,7.34376e-21,-1.7817e-28,0.000200006,1.53474e-19,7.3446e-21,1.53484e-19,0.000200006,64
-0.634102,-0.248127,1.47212,-0.636825,-0.239247,1.46371,0.00078887,0.0705297,-0.0507457,5.47895,0.000200004,-8.14704e-29,4.69996e-21,-1.14028e-28,0.000200004,9.82224e-20,4.70049e-21,9.82289e-20,0.000200004,64
-0.634769,-0.246054,1.47015,-0.637435,-0.237765,1.46225,0.000122372,0.0726022,-0.0527198,5.41814,0.000200003,-5.21407e-29,3.00795e-21,-7.29771e-29,0.000200003,6.28619e-20,3.0083e-21,6.28661e-20,0.000200003,64
-0.635421,-0.244121,1.46829,-0.638032,-0.236389,1.46084,-0.000530222,0.0745353,-0.0545821,5.36765,0.000200002,-3.33699e-29,1.92508e-21,-4.67052e-29,0.000200002,4.02315e-20,1.9253e-21,4.02341e-20,0.000200002,64
-0.634966,-0.243824,1.46859,-0.633148,-0.242634,1.46982,-5.11526e-05,0.0747966,-0.0542351,5.73982,0.000200001,-2.13567e-29,1.23205e-21,-2.98912e-29,0.000200001,2.57481e-20,1.23219e-21,2.57498e-20,0.000200001,62
-0.634605,-0.24358,1.46883,-0.633158,-0.242604,1.46978,0.000310485,0.0750406,-0.053999,5.73982,0.000200001,-1.36682e-29,7.8851e-22,-1.91304e-29,0.000200001,1.64787e-20,7.886e-22,1.64798e-20,0.000200001,62
-0.634316,-0.24338,1.46901,-0.633161,-0.242578,1.46975,0.000605941,0.0752238,-0.0537953,5.73982,0.0002,-8.74767e-30,5.04646e-22,-1.22434e-29,0.0002,1.05464e-20,5.04703e-22,1.05471e-20,0.0002,62
-0.63409,-0.243212,1.46916,-0.633183,-0.242542,1.46973,0.000832459,0.0753914,-0.0536517,5.74301,0.0002,-5.5985e-30,3.22973e-22,-7.83578e-30,0.0002,6.74968e-21,3.2301e-22,6.75012e-21,0.0002,62
-0.633911,-0.243071,1.46927,-0.633196,-0.242507,1.46971,0.00101115,0.0755325,-0.0535417,5.74301,0.0002,-3.58304e-30,2.06703e-22,-5.0149e-30,0.0002,4.31979e-21,2.06726e-22,4.32008e-21,0.0002,62
-0.635079,-0.244417,1.46803,-0.63975,-0.249803,1.46308,-9.7336e-05,0.0741369,-0.0547298,5.44479,0.0002,-2.29315e-30,1.3229e-22,-3.20953e-30,0.0002,2.76467e-21,1.32305e-22,2.76485e-21,0.0002,57
-0.635989,-0.245581,1.46712,-0.63963,-0.250237,1.46347,-0.00100754,0.0729731,-0.0556422,5.45241,0.0002,-1.46761e-30,8.46654e-23,-2.0541e-30,0.0002,1.76939e-21,8.4675e-23,1.7695e-21,0.0002,57
-0.636701,-0.246595,1.46647,-0.639548,-0.250651,1.4639,-0.00171938,0.0719592,-0.0562866,5.3816,0.0002,-9.39272e-31,5.41858e-23,-1.31462e-30,0.0002,1.13241e-21,5.4192e-23,1.13248e-21,0.0002,57
-0.637279,-0.247482,1.46612,-0.639594,-0.251029,1.46469,-0.002298,0.0710723,-0.056643,5.42642,0.0002,-6.01134e-31,3.46789e-23,-8.41359e-31,0.0002,7.24741e-22,3.46829e-23,7.24788e-22,0.0002,57
-0.637762,-0.248286,1.46597,-0.639694,-0.251502,1.46536,-0.00278088,0.0702683,-0.0567947,5.40898,0.0002,-3.84726e-31,2.21945e-23,-5.3847e-31,0.0002,4.63834e-22,2.2197e-23,4.63864e-22,0.0002,57
-0.638143,-0.249042,1.46599,-0.639668,-0.252068,1.46609,-0.0031681,0.0695219,-0.0567695,5.30117,0.0002,-2.46225e-31,1.42045e-23,-3.44621e-31,0.0002,2.96854e-22,1.42061e-23,2.96873e-22,0.0002,57
-0.637241,-0.247789,1.46526,-0.63363,-0.242774,1.46235,-0.00226552,0.0707756,-0.0574982,6.01211,0.0002,-1.57584e-31,9.09087e-24,-2.20557e-31,0.0002,1.89986e-22,9.09191e-24,1.89999e-22,0.0002,63
-0.636551,-0.24669,1.46457,-0.633793,-0.242294,1.46182,-0.00155594,0.0718595,-0.0581864,5.9524,0.0002,-1.00854e-31,5.81816e-24,-1.41157e-31,0.0002,1.21591e-22,5.81882e-24,1.21599e-22,0.0002,63
-0.636025,-0.245715,1.46393,-0.633922,-0.241815,1.46138,-0.00103015,0.0728345,-0.0588256,5.9883,0.0002,-6.45463e-32,3.72362e-24,-9.03403e-32,0.0002,7.78184e-23,3.72405e-24,7.78235e-23,0.0002,62
-0.635627,-0.24485,1.46333,-0.634032,-0.24139,1.46093,-0.000631516,0.0736995,-0.0594274,5.99179,0.0002,-4.13096e-32,2.38312e-24,-5.78178e-32,0.0002,4.98038e-23,2.38339e-24,4.9807e-23,0.0002,62
-0.635329,-0.244089,1.46278,-0.634138,-0.241046,1.46055,-0.000349739,0.0744472,-0.0599831,5.98212,0.0002,-2.64382e-32,1.5252e-24,-3.70034e-32,0.0002,3.18744e-23,1.52537e-24,3.18765e-23,0.0002,62
