EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
0.459052,-0.445682,2.47535,0.458891,-0.445666,2.47504,-0.049448,-0.0191824,-0.108648,28.7971,0.0002,-3.13412e-14,1.54796e-09,-3.13412e-14,0.0002,-1.8837e-09,1.54796e-09,-1.8837e-09,0.0002
0.45904,-0.445677,2.47528,0.458991,-0.445654,2.475,-0.0494602,-0.0191767,-0.108718,28.8258,0.0002,-1.85655e-14,9.90697e-10,-1.85655e-14,0.0002,-1.20557e-09,9.90697e-10,-1.20557e-09,0.0002
0.45907,-0.445701,2.47534,0.459171,-0.445647,2.47558,-0.0494303,-0.0192006,-0.108659,28.8543,0.0002,-1.51552e-14,5.41308e-09,-1.51552e-14,0.0002,-1.99733e-10,5.41308e-09,-1.99733e-10,0.0002
0.459047,-0.445705,2.4753,0.458955,-0.44572,2.47516,-0.0494533,-0.0192045,-0.108696,28.8316,0.0002,-9.14574e-15,3.46437e-09,-9.14574e-15,0.0002,-1.27829e-10,3.46437e-09,-1.27829e-10,0.0002
0.45905,-0.445698,2.47533,0.459062,-0.44567,2.47544,-0.0494503,-0.0191977,-0.108668,28.8466,0.0002,-5.62653e-15,2.2172e-09,-5.62653e-15,0.0002,-8.18107e-11,2.2172e-09,-8.18107e-11,0.0002
0.459056,-0.445699,2.47536,0.459082,-0.445706,2.47546,-0.0494439,-0.0191993,-0.108642,28.8526,0.0002,-3.50811e-15,1.41901e-09,-3.50811e-15,0.0002,-5.23589e-11,1.41901e-09,-5.23589e-11,0.0002
0.458994,-0.44573,2.47514,0.458812,-0.445771,2.47488,-0.0495059,-0.0192303,-0.108864,28.9395,0.0002,-5.22694e-14,3.58342e-09,-5.22694e-14,0.0002,-2.13733e-09,3.58342e-09,-2.13733e-09,0.0002
0.459014,-0.445709,2.4752,0.459093,-0.445626,2.47547,-0.0494862,-0.0192094,-0.108798,28.8479,0.0002,-2.9531e-14,2.29339e-09,-2.9531e-14,0.0002,-1.36789e-09,2.29339e-09,-1.36789e-09,0.0002
0.459065,-0.445695,2.47538,0.45927,-0.445638,2.47609,-0.049435,-0.0191952,-0.108621,28.8198,0.0002,-1.72937e-14,1.46777e-09,-1.72937e-14,0.0002,-8.75452e-10,1.46777e-09,-8.75452e-10,0.0002
0.459077,-0.445686,2.47528,0.459126,-0.445649,2.47551,-0.0494228,-0.0191859,-0.108722,28.8084,0.0002,-1.041e-14,9.39372e-10,-1.041e-14,0.0002,-5.60289e-10,9.39372e-10,-5.60289e-10,0.0002
