EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta,counter
-0.666836,-0.352221,1.5645,-0.666836,-0.352221,1.5645,-0.00302697,0.0167282,0.00329008,0.906303,0.000999999,0,0,0,0.000999999,0,0,0,0.000999999,0
-0.667169,-0.352171,1.56409,-0.667486,-0.352125,1.5637,-0.00350858,0.0167997,0.00280798,0.884994,0.000512195,0,0,0,0.000512195,0,0,0,0.000512195,0
-0.667291,-0.352133,1.56393,-0.667509,-0.352064,1.56366,-0.00363093,0.0168382,0.00265503,0.892036,0.000359875,0,0,0,0.000359875,0,0,0,0.000359875,0
-0.667357,-0.352122,1.56382,-0.667519,-0.352096,1.56355,-0.00369721,0.016849,0.00254216,0.880775,0.000290717,0,0,0,0.000290717,0,0,0,0.000290717,0
-0.6674,-0.352101,1.56377,-0.667525,-0.352038,1.56363,-0.0037397,0.0168703,0.00249295,0.884994,0.000254131,0,0,0,0.000254131,0,0,0,0.000254131,0
-0.667429,-0.352096,1.56371,-0.667523,-0.352079,1.56352,-0.00376842,0.0168755,0.00243359,0.887817,0.000233206,0,0,0,0.000233206,0,0,0,0.000233206,0
-0.66745,-0.352091,1.56367,-0.667526,-0.352075,1.56352,-0.00378994,0.0168801,0.002391,0.880775,0.000220702,0,0,0,0.000220702,0,0,0,0.000220702,0
-0.667115,-0.352731,1.56165,-0.665878,-0.355095,1.55419,-0.00345508,0.0162402,0.000371963,0.739791,0.000213033,0,0,0,0.000213033,0,0,0,0.000213033,0
-0.666861,-0.353221,1.56009,-0.665892,-0.355086,1.55417,-0.00310039,0.0157818,-0.00118586,0.739791,0.000208255,0,0,0,0.000208255,0,0,0,0.000208255,0
-0.666666,-0.353596,1.55887,-0.665912,-0.355048,1.55411,-0.0029058,0.0154068,-0.00241415,0.739791,0.000205249,0,0,0,0.000205249,0,0,0,0.000205249,0
