EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.66341,-0.376679,1.59065,-0.66341,-0.376679,1.59065,0.00014219,0.0101378,0.0158669,0.773021,0.000999999,1.43003e-22,-2.64874e-14,2.70074e-22,0.000999999,-2.67011e-14,-2.64886e-14,-2.66953e-14,0.000999999
-0.663308,-0.376891,1.59112,-0.663212,-0.377092,1.59158,0.000217343,0.00987934,0.0164026,0.778333,0.000512195,3.3946e-23,-6.30278e-15,6.4183e-23,0.000512195,-6.35363e-15,-6.30308e-15,-6.35224e-15,0.000512195
-0.663264,-0.376985,1.5913,-0.663186,-0.377154,1.59161,0.000261556,0.00978443,0.0165792,0.778333,0.000359875,1.38992e-23,-2.58263e-15,2.62891e-23,0.000359875,-2.60346e-15,-2.58275e-15,-2.6029e-15,0.000359875
-0.66324,-0.377039,1.5914,-0.66318,-0.377168,1.59164,0.000286147,0.00973131,0.0166777,0.778333,0.000290717,6.99005e-24,-1.29927e-15,1.32232e-23,0.000290717,-1.30975e-15,-1.29933e-15,-1.30947e-15,0.000290717
-0.663455,-0.377217,1.59145,-0.664086,-0.377742,1.5916,8.15034e-05,0.00951232,0.0167697,0.996213,0.000254131,3.88801e-24,-7.22814e-16,7.35563e-24,0.000254131,-7.28644e-16,-7.22847e-16,-7.28486e-16,0.000254131
-0.663599,-0.377344,1.5915,-0.664073,-0.377762,1.59166,-6.27898e-05,0.00938527,0.016818,0.996213,0.000233206,2.28581e-24,-4.24995e-16,4.32468e-24,0.000233206,-4.28424e-16,-4.25015e-16,-4.2833e-16,0.000233206
-0.663703,-0.377443,1.59154,-0.664069,-0.377792,1.59168,-0.000140017,0.00925046,0.0168887,1.00331,0.000220702,1.3881e-24,-2.58102e-16,2.62632e-24,0.000220702,-2.60184e-16,-2.58114e-16,-2.60128e-16,0.000220702
-0.663783,-0.377509,1.59158,-0.66408,-0.377754,1.59171,-0.00022033,0.00918433,0.0169263,0.996213,0.000213033,8.59639e-25,-1.59847e-16,1.62649e-24,0.000213033,-1.61136e-16,-1.59854e-16,-1.61101e-16,0.000213033
-0.663844,-0.377566,1.59159,-0.664075,-0.377779,1.59166,-0.000287468,0.00910307,0.0169634,1.00331,0.000208255,5.38861e-25,-1.00202e-16,1.01957e-24,0.000208255,-1.0101e-16,-1.00206e-16,-1.00988e-16,0.000208255
-0.663894,-0.377605,1.59162,-0.664087,-0.377756,1.59171,-0.0003374,0.00906391,0.0169865,0.996213,0.000205249,3.40355e-25,-6.32904e-17,6.43984e-25,0.000205249,-6.38009e-17,-6.32933e-17,-6.3787e-17,0.000205249
-0.663732,-0.377568,1.59306,-0.663097,-0.377424,1.59871,-0.000175406,0.00910058,0.0184286,0.494857,0.000203345,2.16008e-25,-4.01678e-17,4.08708e-25,0.000203345,-4.04918e-17,-4.01697e-17,-4.0483e-17,0.000203345
-0.663596,-0.377568,1.59423,-0.663058,-0.377566,1.59886,-4.90521e-05,0.00911999,0.0195912,0.50221,0.000202135,1.37507e-25,-2.55703e-17,2.60178e-25,0.000202135,-2.57766e-17,-2.55715e-17,-2.5771e-17,0.000202135
-0.663474,-0.37758,1.59519,-0.662993,-0.377629,1.599,7.2389e-05,0.00910771,0.0205506,0.508883,0.000201364,8.77043e-26,-1.63093e-17,1.65946e-25,0.000201364,-1.64408e-17,-1.631e-17,-1.64372e-17,0.000201364
-0.663368,-0.377597,1.59597,-0.662946,-0.377666,1.5991,0.000164325,0.00908142,0.021345,0.50153,0.000200872,5.60083e-26,-1.04152e-17,1.05974e-25,0.000200872,-1.04992e-17,-1.04157e-17,-1.04969e-17,0.000200872
-0.663276,-0.377625,1.59663,-0.662908,-0.377735,1.59922,0.000256644,0.00905385,0.0219954,0.50153,0.000200558,3.57953e-26,-6.65642e-18,6.77288e-26,0.000200558,-6.71012e-18,-6.65673e-18,-6.70866e-18,0.000200558
-0.663039,-0.377732,1.59542,-0.662095,-0.378161,1.5906,0.000493138,0.00894633,0.0207874,0.670625,0.000200357,2.28885e-26,-4.25631e-18,4.33078e-26,0.000200357,-4.29065e-18,-4.25651e-18,-4.28971e-18,0.000200357
-0.662849,-0.377808,1.59443,-0.662089,-0.378108,1.59051,0.000690414,0.00886909,0.019805,0.670625,0.000200228,1.46403e-26,-2.72249e-18,2.77011e-26,0.000200228,-2.74445e-18,-2.72261e-18,-2.74385e-18,0.000200228
-0.662694,-0.37786,1.59364,-0.662076,-0.378072,1.59044,0.000845168,0.00881616,0.0190064,0.670625,0.000200146,9.36636e-27,-1.74175e-18,1.77223e-26,0.000200146,-1.7558e-18,-1.74183e-18,-1.75542e-18,0.000200146
-0.66257,-0.377895,1.59298,-0.662074,-0.378033,1.59038,0.000958912,0.00876753,0.0183744,0.670625,0.000200093,5.99307e-27,-1.11446e-18,1.13396e-26,0.000200093,-1.12345e-18,-1.11451e-18,-1.12321e-18,0.000200093
-0.662469,-0.377909,1.59245,-0.662063,-0.377965,1.59033,0.00106041,0.00875346,0.0178429,0.663217,0.00020006,3.83499e-27,-7.13149e-19,7.25625e-27,0.00020006,-7.18902e-19,-7.13182e-19,-7.18745e-19,0.00020006
-0.662386,-0.377909,1.59201,-0.662056,-0.377906,1.59022,0.00114293,0.00875402,0.0173963,0.670625,0.000200038,2.45416e-27,-4.56372e-19,4.64356e-27,0.000200038,-4.60053e-19,-4.56393e-19,-4.59953e-19,0.000200038
-0.662138,-0.378627,1.59095,-0.661143,-0.3815,1.58671,0.00135838,0.00804562,0.0163468,0.579451,0.000200025,1.57057e-27,-2.9206e-19,2.97169e-27,0.000200025,-2.94416e-19,-2.92074e-19,-2.94352e-19,0.000200025
-0.661928,-0.379223,1.59012,-0.661091,-0.381608,1.58684,0.0015677,0.00744938,0.0155245,0.586594,0.000200016,1.00512e-27,-1.86911e-19,1.90181e-27,0.000200016,-1.88419e-19,-1.8692e-19,-1.88378e-19,0.000200016
-0.66175,-0.379724,1.5895,-0.661037,-0.381729,1.587,0.0017459,0.00694819,0.0148999,0.586594,0.00020001,6.43262e-28,-1.1962e-19,1.21713e-27,0.00020001,-1.20585e-19,-1.19626e-19,-1.20559e-19,0.00020001
-0.6616,-0.380143,1.58903,-0.660998,-0.381817,1.58713,0.00187132,0.00654167,0.0144253,0.593736,0.000200006,4.11681e-28,-7.65556e-20,7.78949e-28,0.000200006,-7.71732e-20,-7.65592e-20,-7.71564e-20,0.000200006
-0.661472,-0.380492,1.58866,-0.660963,-0.381887,1.5872,0.00199867,0.00619285,0.0140601,0.593736,0.000200004,2.63473e-28,-4.89951e-20,4.98522e-28,0.000200004,-4.93903e-20,-4.89974e-20,-4.93796e-20,0.000200004
-0.661906,-0.37979,1.59019,-0.663641,-0.376982,1.59629,0.00153506,0.00693188,0.0155766,0.768165,0.000200003,1.68622e-28,-3.13567e-20,3.19052e-28,0.000200003,-3.16096e-20,-3.13581e-20,-3.16027e-20,0.000200003
-0.66225,-0.379231,1.59141,-0.663625,-0.376996,1.59632,0.00119121,0.00749054,0.0168029,0.775411,0.000200002,1.07917e-28,-2.00682e-20,2.04193e-28,0.000200002,-2.02301e-20,-2.00691e-20,-2.02257e-20,0.000200002
-0.662526,-0.378786,1.5924,-0.663631,-0.377006,1.59635,0.000883402,0.00796955,0.0177601,0.768165,0.000200001,6.9067e-29,-1.28436e-20,1.30683e-28,0.000200001,-1.29472e-20,-1.28442e-20,-1.29444e-20,0.000200001
-0.662746,-0.37843,1.59318,-0.663625,-0.377005,1.59632,0.000663679,0.00832572,0.018544,0.775411,0.000200001,4.42028e-29,-8.21989e-21,8.36369e-29,0.000200001,-8.2862e-21,-8.22027e-21,-8.28439e-21,0.000200001
-0.662926,-0.378138,1.59381,-0.663645,-0.376969,1.59631,0.000483823,0.00861794,0.0191697,0.760919,0.0002,2.82898e-29,-5.26072e-21,5.35275e-29,0.0002,-5.30316e-21,-5.26097e-21,-5.30201e-21,0.0002
-0.662951,-0.378602,1.59394,-0.663051,-0.380461,1.59445,0.000491095,0.00817231,0.019277,1.38037,0.0002,1.81054e-29,-3.36686e-21,3.42576e-29,0.0002,-3.39402e-21,-3.36702e-21,-3.39328e-21,0.0002
